OBJECTID,Major,Minor,UniqID,DSID,Flow,RiverSeg,TidalWater,MajMin,Region,Watershed,MajBas,MinBas,RiverSimu,RiverName,CBSEG_92,FIPS,ST,CNTYNAME,CBW,FIPS_NHL,PRECIP,MEANPRECIP,LndRvrSeg,Acres,HGMR,Shape_Length,Shape_Area
1,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,36003,NY,ALLEGANY,N,N36003,N,1021,N36003ZZ0_9999_9999,608554.861, ,333261.9037,4494399951
2,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,36007,NY,BROOME,N,N36007,N,1055,N36007ZZ0_9999_9999,51360.12539, ,107835.5498,377939640.9
3,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,36011,NY,CAYUGA,N,N36011,N,1001,N36011ZZ0_9999_9999,552533.1175, ,430113.3848,4185655777
4,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,36015,NY,CHEMUNG,N,N36015,N,941,N36015ZZ0_9999_9999,23292.5814, ,71206.28324,172185151.5
5,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,36017,NY,CHENANGO,N,N36017,N,1090,N36017ZZ0_9999_9999,1800.624899, ,16932.12099,13298503.66
6,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,36023,NY,CORTLAND,N,N36023,N,1097,N36023ZZ0_9999_9999,25438.19091, ,159186.9862,190098429.5
7,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,36025,NY,DELAWARE,N,N36025,N,1156,N36025ZZ0_9999_9999,751922.9036, ,379809.432,5545090196
8,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,36043,NY,HERKIMER,N,N36043,N,1226,N36043ZZ0_9999_9999,878106.4498, ,549130.675,6751204492
9,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,36051,NY,LIVINGSTON,N,N36051,N,883,N36051ZZ0_9999_9999,399849.3443, ,342015.4003,2999210274
10,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,36053,NY,MADISON,N,N36053,N,1096,N36053ZZ0_9999_9999,219940.0002, ,321215.0622,1666280642
11,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,36065,NY,ONEIDA,N,N36065,N,1193,N36065ZZ0_9999_9999,773377.0344, ,421323.1461,5907422300
12,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,36067,NY,ONONDAGA,N,N36067,N,1055,N36067ZZ0_9999_9999,479303.6082, ,408066.7545,3632469910
13,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,36069,NY,ONTARIO,N,N36069,N,885,N36069ZZ0_9999_9999,423281.7048, ,297107.2385,3188736215
14,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,36077,NY,OTSEGO,N,N36077,N,1100,N36077ZZ0_9999_9999,18790.39066, ,125052.9222,141446447.5
15,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,36095,NY,SCHOHARIE,N,N36095,N,1051,N36095ZZ0_9999_9999,374362.0475, ,263913.411,2799046817
16,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,36097,NY,SCHUYLER,N,N36097,N,910,N36097ZZ0_9999_9999,141235.7586, ,195408.8125,1049599594
17,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,36101,NY,STEUBEN,N,N36101,N,911,N36101ZZ0_9999_9999,115608.6319, ,351988.2522,858577749.6
18,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,36107,NY,TIOGA,N,N36107,N,1006,N36107ZZ0_9999_9999,364.4469191, ,7671.531653,2696971.178
19,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,36109,NY,TOMPKINS,N,N36109,N,996,N36109ZZ0_9999_9999,254490.7418, ,230481.3123,1895400597
20,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,36123,NY,YATES,N,N36123,N,876,N36123ZZ0_9999_9999,233904.5249, ,215355.6329,1750040591
21,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,42009,PA,BEDFORD,N,N42009,N,997,N42009ZZ0_9999_9999,1310.860338,APS,73070.58833,9083731.113
22,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,42011,PA,BERKS,N,N42011,N,1162,N42011ZZ0_9999_9999,496886.9969, ,278330.8351,3475347501
23,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,42021,PA,CAMBRIA,N,N42021,N,1134,N42021ZZ0_9999_9999,256519.8102, ,217334.5279,1788957581
24,Z,Z,9999,9999,0,ZZ0_9999_9999,N,ZZ,Regions Outside of Chesapeake Bay Watershed,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-No River Simulation,Land Segment Only-*,Land Segment Only-No River Simulation, ,42023,PA,CAMERON,N,N42023,N,1119,N42023ZZ0_9999_9999,829.0892984, ,10929.75373,5999822.652
