OBJECTID_1,Shape,OBJECTID,DEQ_NUMBER,SPRING_NAME,LATNAD83DD,LONGNAD83D,,,,OBJECTID,SITENO,SITENAME,CATEGORY,AGENCY,LATDD,LONGDD,
1137,,700,144-00403,JAMES NEAVES (SPRING),36.57047305,-80.02453931,,,,52,363716076353701,58AS  1,SP,USGS,36.6212624,-76.5932846,1
1460,,765,152-00060,BEECH GROVE SPRING,36.61202194,-83.267895,,,,53,363748081423201,17BS  1,SP,USGS,36.63020335,-81.7088309,2
1505,,1320,184-00096,HOLSTON SPRINGS,36.6132783,-82.58359877,,,,43,03478000,"PERCY PRESTON SPRING NEAR WALLACE, VA",SP,USGS,36.64038649,-82.10151889,3
1439,,1525,195-00320,BIG SPRING NEAR TAYLORS VALLEY,36.61502244,-81.71239779,,,,50,03526500,"QUILLIN SPRINGS NEAR GATE CITY, VA",SP,USGS,36.69704359,-82.5770996,4
1450,,776,152-00071,SPRING 1,36.61664694,-83.17717833,,,,54,364228082415901,"Johnson Spring Near Clinchport, VA",SP,USGS,36.7074866,-82.6991869,5
1457,,783,152-00078,SNODGRASS FORD SPRING,36.61965556,-83.25160417,,,,55,364516080243401,27CS 2,SP,USGS,36.7545803,-80.4092294,6
1359,,899,161-00622,GALMER,36.62126241,-76.59328456,1,,,42,03471000,"STEVE KEESING SPRING AT SUGAR GROVE, VA",SP,USGS,36.77428437,-81.41788719,7
1435,,1509,195-00304,SWIFT SPRING - WASHINGTON COUNTY SERVICE AUTHORITY,36.62178908,-81.62377664,,,,56,364639082232801,27CS 1,SP,USGS,36.77763525,-80.3908938,8
1561,,1523,195-00318,PRESTON SPRING,36.62513743,-82.09267144,,,,57,364816080214401,28CS  1,SP,USGS,36.80457909,-80.3620018,9
1437,,1514,195-00309,TAYLOR VALLEY COMMUNITY SPRING,36.62528,-81.713333,,,,49,03524895,"STRAIGHT FORK SPRING AT KA, VA",SP,USGS,36.817321,-82.62404598,10
1461,,766,152-00061,TYLER BEND SPRING,36.6277525,-83.2352675,,,,51,03530444,"MINE DRAIN TO BAILEYS TRACE AT BONNY BLUE, VA",SP,USGS,36.82814498,-83.0779465,11
1451,,777,152-00072,WALLEN CREEK SPRING,36.62791889,-83.17450222,,,,47,03524575,"CORDER BRANCH SPRING NEAR COEBURN, VA",SP,USGS,36.88565709,-82.4970977,12
1434,,1505,195-00300,RESERVATION SPRING,36.63020335,-81.70883087,2,,,48,03524815,"OSBORN ROCK SPRING NEAR NORTON, VA",SP,USGS,36.89621126,-82.584878,13
1449,,775,152-00070,SPRING 30,36.63518917,-83.19095861,,,,58,365402081363901,Cave Spring near Broadford VA,SP,USGS,36.9008374,-81.6112825,14
1465,,770,152-00065,SPRING CF40,36.63524389,-83.21585444,,,,33,03166900,"BOILING SP AT NAT FISH HAT NR GRAHAMS FORGE, VA",SP,USGS,36.93067677,-80.896189,15
1464,,769,152-00064,SPRING CF41,36.63530944,-83.21681528,,,,59,365548080111701,29DS  1,SP,USGS,36.93124614,-80.1853215,16
1448,,774,152-00069,SPRING 31,36.63702611,-83.19258167,,,,32,03166880,"WEST SP AT NAT FISH HAT NEAR GRAHAMS FORGE, VA",SP,USGS,36.9342877,-80.9031338,17
1462,,767,152-00062,TREE BLUE HOLE SPRING,36.63737417,-83.230455,,,,40,03208324,"BENTIN CHAFFIN SPRING NEAR TRAMMEL, VA",SP,USGS,36.99982787,-82.25291789,18
1548,,1506,195-00301,PERCY PRESTON SPRING,36.64038649,-82.10151889,3,,,41,03208326,"KNOT HOLLOW SPRING NEAR TRAMMEL, VA",SP,USGS,37.0070502,-82.2518068,19
1557,,1519,195-00314,BIG SPRING NEAR LIME HILL,36.64197435,-82.23812874,,,,46,03524252,"BILL BURLESON SPRING NEAR LIPPS, VA",SP,USGS,37.04037788,-82.67238,20
1447,,773,152-00068,UPPER FLANARY BRIDGE SPRING,36.64301389,-83.20312111,,,,45,03524250,"WINSTON ISOM SPRING NEAR LIPPS, VA",SP,USGS,37.04065559,-82.67571338,21
1140,,703,144-00970,GEORGE TRAILER PARK - SPRING 1,36.643056,-79.973056,,,,60,370300080064201,30ES  1,SP,USGS,37.050136,-80.1186505,22
1141,,704,144-00971,GEORGE TRAILER PARK - SPRING 2,36.643056,-79.974167,,,,38,03208028,"OLD SCHOOL HOUSE SPRING NEAR COUNCIL, VA",SP,USGS,37.05760997,-82.044296,23
1467,,772,152-00067,LOWER FLANARY BRIDGE SPRING,36.64334472,-83.20436556,,,,61,370330078382601,41ES  1,SP,USGS,37.05841116,-78.6402675,24
1466,,771,152-00066,SPOUT SPRING,36.64474333,-83.20768583,,,,44,03520500,"TAYLOR SPRINGS AT CEDAR BLUFF, VA",SP,USGS,37.07150307,-81.7553922,25
1463,,768,152-00063,SIMS SPRING,36.6485375,-83.22193778,,,,39,03208038,"CURVIN HARRIS SPRING NEAR COUNCIL, VA",SP,USGS,37.0770544,-82.0534634,26
1558,,1520,195-00315,BIG SPRING NEAR WALLACE,36.66151814,-82.11204876,,,,62,370438082021901,14ES  4 LETHRIDGE SPG,SP,USGS,37.0773324,-82.0384626,
1454,,780,152-00075,STILLHOUSE SPRING,36.66402444,-83.12124833,,,,63,370507082020601,14ES  7,SP,USGS,37.08538808,-82.0348513,
1455,,781,152-00076,JONES-FLANNARY SPRING,36.66435611,-83.11006472,,,,64,370526082025501,14ES  2 HESS COW SPG,SP,USGS,37.0906657,-82.0484632,
1138,,701,144-00420,AXTON SPRING - HCPSA,36.666111,-79.7125,,,,65,370528082025701,14ES  1 HESS DRIVEWAY SPG,SP,USGS,37.09122126,-82.04901879,
1452,,778,152-00073,BATIE SPRING WEST,36.66738694,-83.15608528,,,,66,370554082022001,14ES  5,SP,USGS,37.09844367,-82.0387405,
1453,,779,152-00074,BATIE SPRING EAST,36.66738889,-83.15576444,,,,67,370626082022101,14ES  3 MARTIN BATH SPG,SP,USGS,37.1073326,-82.03901839,
1456,,782,152-00077,BOILING SPRING,36.66824083,-83.10509306,,,,68,370637082032401,14ES  6,SP,USGS,37.11038798,-82.0565194,
1560,,1522,195-00317,PHILLIPS SPRING,36.67138211,-82.14530365,,,,69,370639082025601,14ES  8,SP,USGS,37.1109436,-82.0487412,
1459,,764,152-00059,SPRING 19 (CHEEK SPRING),36.67521069,-83.06790846,,,,70,370641082023801,14ES  9,SP,USGS,37.11149925,-82.0437409,
1171,,959,170-00260,PATRICK SPRINGS,36.677914,-80.182272,,,,71,370713082051001,14ES 13 HARRY PRESLEY SPG,SP,USGS,37.1203877,-82.0859655,
1559,,1521,195-00316,HARLEY SPRING,36.68600848,-82.13273036,,,,72,370815082035501,14FS  7 ELBERT WAMPLER SP,SP,USGS,37.1376103,-82.0651311,
1471,,788,152-00083,BLUE SPRINGS - LEE COUNTY PUBLIC SERVICE,36.68666106,-83.36552386,,,,73,370906082053201,14FS  5 BARON SPG,SP,USGS,37.1517768,-82.0920771,
1139,,702,144-00960,PAUL TUGGLE (SPRING),36.68791868,-79.96523618,,,,74,370947082041201,14FS  1,SP,USGS,37.16316605,-82.0698538,27
1473,,790,152-00085,CROCKETT SPRING,36.695,-83.1075,,,,75,371013082052201,14FS  8,SP,USGS,37.17038815,-82.0892994,28
1469,,786,152-00081,WYNN SPRING - TOWN OF JONESVILLE,36.69587261,-83.13800908,,,,76,371119080030401,30FS  1,SP,USGS,37.1759696,-80.0630942,29
1470,,787,152-00082,SPRING ABOVE WYNN SPRING,36.69671042,-83.13755414,,,,77,371208076301501,58FS 50,SP,USGS,37.20236715,-76.5038396,30
1491,,1306,184-00082,QUILLEN SPRINGS,36.69704359,-82.57709956,4,,,78,371211076315301,58FS 14,SP,USGS,37.20320078,-76.5310627,31
1472,,789,152-00084,BEECH SPRING,36.69898167,-83.23784028,,,,79,371213076320401,58FS 25,SP,USGS,37.20375637,-76.5341184,32
1503,,1318,184-00094,BUCK SPRING,36.69993567,-82.60051106,,,,80,371223076311501,58FS 27,SP,USGS,37.20653395,-76.5205068,33
1502,,1317,184-00093,BIG SPRING,36.70052815,-82.60052774,,,,81,371242076312101,58FS 28,SP,USGS,37.21181167,-76.5221735,34
1436,,1510,195-00305,WIDENER SPRING - TOWN OF CHILHOWEE,36.705233,-81.670928,,,,29,02054000,"BIG SPRINGS AT ELLISTON, VA",SP,USGS,37.2142992,-80.23309829,
1553,,1513,195-00308,HAMILTON ELEMENTARY SCHOOL SPRING,36.70638583,-82.30571244,,,,82,371252076351701,58FS  6,SP,USGS,37.21459019,-76.5877311,35
1488,,1303,184-00079,JOHNSON SPIRNG,36.70743348,-82.69904528,5,,,83,371305076300801,58FS 26,SP,USGS,37.2182002,-76.5018951,36
1143,,706,144-00973,REDDS GROCERY SERVICE STATION SPRING,36.711111,-79.801944,,,,84,371307076360401,58FS  7,SP,USGS,37.21875696,-76.600787,37
1562,,1524,195-00319,ROARING SPRING,36.71151441,-82.11180224,,,,85,371315076293601,59FS  2,SP,USGS,37.2209778,-76.4930059,38
1438,,1516,195-00311,COLE SPRING - CHILHOWEE WCSA,36.713461,-81.660964,,,,86,371321076312601,58FS 43,SP,USGS,37.22264487,-76.5235624,39
1554,,1515,195-00310,JONES SPRING - CHILHOWEE WCSA,36.71364398,-81.66516637,,,,87,371330076305501,58FS 17,SP,USGS,37.2251447,-76.514951,40
1412,,958,170-00259,ROUNDMEADOWS CAMPGROUND TES SPRING,36.713889,-80.418056,,,,,371331076303801,58FS 51,SP,USGS,37.22542244,-76.51022869,41
1556,,1518,195-00313,BLEVINS SPRING,36.714586,-81.679749,,,,89,371338076365601,58FS  9,SP,USGS,37.22736815,-76.6152319,42
1504,,1319,184-00095,HALE SPRING,36.71754139,-82.52000394,,,,90,371338076370101,58FS  8,SP,USGS,37.22736816,-76.61662088,43
1489,,1304,184-00080,MILL CREEK SPRINGS,36.72096472,-82.66126301,,,,91,371344076323801,58FS 29,SP,USGS,37.2290339,-76.543563,44
1497,,1312,184-00088,TAYLORTOWN BRANCH SPRING,36.72309861,-82.66079889,,,,35,03207240,"MINE DRAIN TO DISMAL CR NEAR JEWELL VALLEY, VA",SP,USGS,37.2309463,-81.8076144,45
1519,,1397,186-00815,JONES SPRING - TOWN OF CHILHOWEE,36.724004,-81.653451,,,,92,371355076311001,58FS 40,SP,USGS,37.2320891,-76.5191178,46
1496,,1311,184-00087,RYE COVE MEMORIAL SCHOOL SPRING,36.72947861,-82.68949361,,,,93,371402076313901,58FS 38,SP,USGS,37.23403364,-76.5271736,47
1520,,1398,186-00816,GROSS SPRING - TOWN OF CHILHOWEE,36.733448,-81.660118,,,,94,371403076313401,58FS 37,SP,USGS,37.23431139,-76.5257847,48
1406,,688,138-00229,HOUNDSHELL CAMPGROUND SPRING,36.737533,-81.368006,,,,95,371406076373901,57FS  1,SP,USGS,37.23514599,-76.6271767,49
1458,,784,152-00079,UPPER TRUROW SPRING - TOWN OF PENNINGTON,36.74032972,-83.0961875,,,,97,371409076324401,58FS 10,SP,USGS,37.23597828,-76.5452298,50
1429,,1407,186-00825,LEWIS SPRING,36.74680832,-81.53755338,,,,96,371409076324301,58FS 13,SP,USGS,37.23597828,-76.544952,51
1490,,1305,184-00081,UNNAMED OVERFLOW SPRING,36.74783099,-82.68460199,,,,98,371411076323601,58FS 11,SP,USGS,37.2365338,-76.5430075,52
1468,,785,152-00080,COLD SPRING - TOWN OF PENNINGTON,36.7514825,-83.01100444,,,,99,371413076345701,58FS  1,SP,USGS,37.23708984,-76.5821753,53
1549,,1507,195-00302,CEDARVILLE SPRING,36.75177921,-81.8567907,,,,100,371424076351301,58FS  3,SP,USGS,37.2401454,-76.5866199,54
1495,,1310,184-00086,UNNAMED SPRING,36.752455,-82.68902528,,,,36,03207290,"MINE DRAIN TO BURNT CHESTNUT CR NR KEEN MTN, VA",SP,USGS,37.24094559,-81.9006767,55
1142,,705,144-00972,HAIRSTON SPRING WATER SYSTEM SPRING,36.7525,-79.996944,,,,101,371434076321401,58FS 12,SP,USGS,37.2429225,-76.5368962,56
1400,,544,131-00120,NPS MABRY MILL,36.75458031,-80.40922942,6,,,102,371434076351401,58FS  2,SP,USGS,37.24292316,-76.5868977,57
1500,,1315,184-00091,CARTER SPRING,36.75599528,-82.65651139,,,,103,371436076340001,58FS  5,SP,USGS,37.24347845,-76.5663415,58
1499,,1314,184-00090,MARTHA CARTER SPRING,36.75655556,-82.66158889,,,,104,371450076325301,58FS  4,SP,USGS,37.24736705,-76.5477298,59
1498,,1313,184-00089,RICHMOND BRANCH SPRING,36.75801028,-82.65962972,,,,105,371522076340301,58GS  2,SP,USGS,37.256256,-76.5671748,60
1431,,1414,186-00832,STUART SPRING,36.76159873,-81.53430834,,,,106,371524076480801,56GS  3,SP,USGS,37.25659167,-76.801925,61
1501,,1316,184-00092,UNNAMED SPRING,36.76238972,-82.68220833,,,,34,03173500,"FRANCIS SPRING NEAR BANE, VA",SP,USGS,37.26234554,-80.6889555,62
1432,,1415,186-00833,BLEVIN SPRING ABOVE ROBERTS MILL,36.77303295,-81.43476177,,,,107,371611076354101,58GS  1,SP,USGS,37.26986726,-76.5943979,63
1425,,1388,186-00806,CURRIN SPRING,36.77383848,-81.41893851,,,,37,03207528,"MINE DRAIN TO BURNT POPLAR CR NR HARMAN JCT, VA",SP,USGS,37.30927639,-82.1845822,64
1424,,1387,186-00805,KEESLING SPRING,36.77398719,-81.41795379,7,,,108,372615077175701,52HS  1,SP,USGS,37.4377333,-77.2989974,65
1510,,1385,186-00803,TAYLOR SPRING,36.77421139,-81.57464444,,,,109,372634079355201,34HS  1,SP,USGS,37.44291524,-79.5978136,66
1423,,1386,186-00804,BIG SPRING AT SUGAR GROVE SCHOOL,36.77491154,-81.41528623,,,,110,372651079370401,34HS  2,SP,USGS,37.44763708,-79.6175363,67
1402,,546,131-00156,CHESTNUT SPRING - SLATEMONT SUBDIVISION,36.77500539,-80.41841706,,,,111,372741077054001,54HS  1,SP,USGS,37.4615352,-77.09413718,68
1433,,1416,186-00834,UNNAMED SPRING NEAR SUGAR GROVE POST OFFICE,36.77619401,-81.41425274,,,,112,372741077054002,54HS  2,SP,USGS,37.4615352,-77.09413718,69
1411,,957,170-00230,NPS ROCKY KNOB CABINS SPRING,36.77763525,-80.39089377,8,,,113,372741077054003,54HS  3,SP,USGS,37.4615352,-77.09413718,69
1550,,1508,195-00303,SPRING 33 (YELLOW SPRING),36.79157967,-81.8865195,,,,114,372805081184701, Wyo-0094S,SP,USGS,37.46817096,-81.3128788,
1474,,791,152-00086,WAKE SPRING,36.79513722,-82.84513139,,,,115,372812081171601, Mer-0112S,SP,USGS,37.47011559,-81.2876006,
1428,,1404,186-00822,BLUE SPRING #3,36.79656649,-81.32589159,,,,121,373351079285601,34HS  3,SP,USGS,37.48208138,-79.56420269,70
