PASpringID,HydrologicUnit,Spring_Type,Permanence,SphereOfDischarge,NumOfOpenings,FormationName,Lithology,ContributingUnit,DischargeType,SourceOfDischargeData,DischMeasMethod,Discharge(gpm),DateDischarged,VisitorName,VisitDate,County
1983, ,CONTACT , , , ,MONTALTO MEMBER OF HARPERS FORMATION ,QUARTZITE ,UNKNOWN ,FLOWING ,USGS OR PAGS ,ESTIMATED ,1,8/13/2015, , ,Adams
1983, ,CONTACT , , , ,MONTALTO MEMBER OF HARPERS FORMATION ,QUARTZITE ,UNKNOWN ,FLOWING ,USGS OR PAGS ,REPORTED METHOD NOT KNOWN ,1,9/1/1979,Fauth ,9/1/1979,Adams
1829, ,PERCHED OR CONTACT ,OTHER ,SUBAERIAL ,1,METARHYOLITE ,METAMORPHIC (UNDIFFERENTIATED) , ,PUMPED ,USGS OR PAGS ,ESTIMATED ,2,6/19/2015, , ,Adams
1718,2050306, , , , ,NEW OXFORD FORMATION ,CONGLOMERATE ,UNKNOWN , , , , , , , ,Adams
1716,2050306, , , , ,CONESTOGA FORMATION ,LIMESTONE ,PRIMARY ,PUMPED ,WELL OWNER ,REPORTED METHOD NOT KNOWN ,15,9/22/1997,D. LOW ,9/22/1997,Adams
1715,2050306, , , , ,CONESTOGA FORMATION ,LIMESTONE ,PRIMARY ,PUMPED ,WELL OWNER ,REPORTED METHOD NOT KNOWN ,3,9/22/1997,D. LOW ,9/22/1997,Adams
1159,2050306,CONTACT ,PERENNIAL ,SUBAQUEOUS , ,HEIDLERSBURG MEM OF GETTY ,SANDSTONE AND SHALE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,2,10/31/1925,G.M.HALL ,10/31/1925,Adams
1155,2050306,PERCHED OR CONTACT , ,SUBAERIAL ,1,NEW OXFORD FORMATION ,SANDSTONE AND SHALE ,PRIMARY , , , , , , , ,Adams
1154,2070004,PERCHED OR CONTACT , , , ,WEVERTON FORMATION ,QUARTZITE ,PRIMARY , , , , , , , ,Adams
1152,2070009, , , , ,METARHYOLITE ,METAMORPHIC (UNDIFFERENTIATED) , ,FLOWING ,USGS OR PAGS ,ESTIMATED ,2,10/30/1925,G.M.HALL ,10/30/1925,Adams
1149,2050306,FRACTURE AND DEPRESSION ,PERENNIAL ,SUBAQUEOUS ,2,NEW OXFORD FORMATION ,SANDSTONE AND SHALE ,PRIMARY , , , , , , , ,Adams
1148,2070009,PERCHED OR CONTACT , , ,2,METARHYOLITE ,METAMORPHIC (UNDIFFERENTIATED) ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,5,10/27/1925, , ,Adams
1148,2070009,PERCHED OR CONTACT , , ,2,METARHYOLITE ,METAMORPHIC (UNDIFFERENTIATED) ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,5,10/30/1925,G.M.HALL ,10/30/1925,Adams
1146,2070009, , , , ,NEW OXFORD FORMATION ,CONGLOMERATE , ,UNKNOWN ,USGS OR PAGS ,ESTIMATED ,10,8/8/1960, , ,Adams
2272, ,PERCHED OR CONTACT ,RESPONSE TO PRECIPITATION , ,3,MONONGAHELA GROUP ,LIMESTONE AND SHALE , , , , , , , , ,Allegheny
784,5010007, , , , ,GLENSHAW FORMATION ,SHALE ,PRIMARY , , , , , , , ,Allegheny
1217,5010006,SEEPAGE OR FILTRATION , , , ,BURGOON MEMBER OF POCONO FORMATION ,SHALE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,2,8/23/1926,A M PIPER ,8/23/1926,Armstrong
2089, ,SEEPAGE OR FILTRATION , , , ,ALLEGHENY GROUP ,SANDSTONE AND SHALE , ,FLOWING ,PRIVATE/UNIV GEOLOGIST (CONSULTANT) ,REPORTED METHOD NOT KNOWN ,10,6/26/2014, , ,Beaver
2088, ,SEEPAGE OR FILTRATION , , , ,ALLEGHENY GROUP ,SANDSTONE AND SHALE , , , , , , , , ,Beaver
1214,5030104, , , , ,POTTSVILLE GROUP ,SANDSTONE , , , , , , , , ,Beaver
1208,5030101,SEEPAGE OR FILTRATION , , ,10,CASSELMAN FORMATION ,SANDSTONE AND SHALE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,4,9/20/1926,Flippo ,9/20/1926,Beaver
2127, ,PERCHED OR CONTACT ,PERENNIAL , , ,ONONDAGA & OLD PORT FMS ,LIMESTONE AND SHALE ,PRIMARY , , , , , , , ,Bedford
2009, ,FRACTURE , ,SUBAQUEOUS ,5,GATESBURG FORMATION ,DOLOMITE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,100,8/1/1992,Geyer ,8/1/1992,Bedford
2006, ,FRACTURE ,PERENNIAL , ,3,ONONDAGA & OLD PORT FMS ,LIMESTONE AND SHALE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,100,4/1/1984,Geyer ,4/1/1984,Bedford
2005, ,SEEPAGE OR FILTRATION ,PERENNIAL ,SUBAERIAL , ,ONONDAGA & OLD PORT FMS ,LIMESTONE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,100,4/1/1984,Geyer ,4/1/1984,Bedford
2004, ,FRACTURE AND DEPRESSION ,PERENNIAL ,SUBAQUEOUS ,2,KEYSER & TONOLOWAY FMS ,LIMESTONE AND SHALE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,30,7/29/2015, , ,Bedford
2004, ,FRACTURE AND DEPRESSION ,PERENNIAL ,SUBAQUEOUS ,2,KEYSER & TONOLOWAY FMS ,LIMESTONE AND SHALE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,50,1/1/1984,Geyer ,1/1/1984,Bedford
1183,2050303,FRACTURE ,PERENNIAL ,SUBAQUEOUS ,1,GATESBURG FORMATION ,DOLOMITE ,PRIMARY ,PUMPED ,USGS OR PAGS ,CALIBRATED AIRLINE ,653,8/1/1985,WOZNIEWICZ ,8/1/1985,Bedford
1183,2050303,FRACTURE ,PERENNIAL ,SUBAQUEOUS ,1,GATESBURG FORMATION ,DOLOMITE ,PRIMARY ,PUMPED ,USGS OR PAGS ,REPORTED METHOD NOT KNOWN ,100,8/12/1992,Dick Ferry ,8/12/1992,Bedford
1181,2050303,SEEPAGE OR FILTRATION , , , ,JUNIATA FORMATION ,SANDSTONE , ,FLOWING ,USGS OR PAGS , ,8,8/16/1972, , ,Bedford
1181,2050303,SEEPAGE OR FILTRATION , , , ,JUNIATA FORMATION ,SANDSTONE , ,FLOWING ,OTHER/UNKNOWN/UNSPECIFIED ,ESTIMATED ,8,1/1/1971, ,1/1/1971,Bedford
1180,2050303,SEEPAGE OR FILTRATION , , , ,JUNIATA FORMATION ,SANDSTONE , ,FLOWING ,USGS OR PAGS , ,9,8/16/1972, , ,Bedford
1180,2050303,SEEPAGE OR FILTRATION , , , ,JUNIATA FORMATION ,SANDSTONE , ,FLOWING ,OTHER/UNKNOWN/UNSPECIFIED ,ESTIMATED ,9,1/1/1971, ,1/1/1971,Bedford
1179,2050303,FRACTURE ,PERENNIAL ,SUBAQUEOUS , ,NITTANY & LARKE FORMATIONS ,LIMESTONE AND DOLOMITE ,PRIMARY ,PUMPED ,USGS OR PAGS ,CALIBRATED AIRLINE ,76,7/31/1985,WOZNIEWICZ ,7/31/1985,Bedford
1178,2050303, , , , ,COBURN SALONA NEALMONT BENNERSNYDER HATTER LOYSBURG FMS. ,LIMESTONE AND DOLOMITE ,PRIMARY ,FLOWING ,USGS OR PAGS , ,12,8/16/1972, , ,Bedford
1178,2050303, , , , ,COBURN SALONA NEALMONT BENNERSNYDER HATTER LOYSBURG FMS. ,LIMESTONE AND DOLOMITE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,12,1/1/1971, ,1/1/1971,Bedford
1177,2050303,FRACTURE ,PERENNIAL ,SUBAQUEOUS , ,NITTANY & LARKE FORMATIONS ,LIMESTONE AND DOLOMITE ,PRIMARY ,PUMPED ,PRIVATE/UNIV GEOLOGIST (CONSULTANT) ,CALIBRATED AIRLINE ,258,7/31/1985,WOZNIEWICZ ,7/31/1985,Bedford
1176,2050303,FRACTURE ,PERENNIAL ,SUBAQUEOUS ,999,NITTANY & LARKE FORMATIONS ,LIMESTONE AND DOLOMITE ,PRIMARY ,PUMPED ,USGS OR PAGS ,CALIBRATED AIRLINE ,1010,7/31/1985,WOZNIEWICZ ,7/31/1985,Bedford
1176,2050303,FRACTURE ,PERENNIAL ,SUBAQUEOUS ,999,NITTANY & LARKE FORMATIONS ,LIMESTONE AND DOLOMITE ,PRIMARY ,PUMPED ,USGS OR PAGS ,ESTIMATED ,400,8/12/1992,Geyer ,8/12/1992,Bedford
1175,2050303,PERCHED AND SEEPAGE OR FILTRATION , , , ,ONONDAGA & OLD PORT FMS ,SANDSTONE AND SHALE ,UNKNOWN ,FLOWING ,USGS OR PAGS , ,1600,11/10/1971,Flippo ,11/10/1971,Bedford
1175,2050303,PERCHED AND SEEPAGE OR FILTRATION , , , ,ONONDAGA & OLD PORT FMS ,SANDSTONE AND SHALE ,UNKNOWN ,FLOWING ,USGS OR PAGS , ,1800,9/18/1933,LOHMAN S. W. ,9/18/1933,Bedford
1173,2050303,SEEPAGE OR FILTRATION , , , ,CONEMAUGH GROUP ,SANDSTONE AND SHALE ,UNKNOWN ,FLOWING ,USGS OR PAGS , ,8.5,5/26/1976, , ,Bedford
1172,2050303, , , , ,CONEMAUGH GROUP ,SHALE , ,FLOWING ,USGS OR PAGS , ,3,8/23/1972, , ,Bedford
1172,2050303, , , , ,CONEMAUGH GROUP ,SHALE , ,UNKNOWN ,UNKNOWN ,UNKNOWN ,3,1/1/1971, ,1/1/1971,Bedford
1171,2050303,SEEPAGE OR FILTRATION , , , ,CONEMAUGH GROUP ,SANDSTONE , ,FLOWING ,USGS OR PAGS , ,2.5,8/23/1972, , ,Bedford
1171,2050303,SEEPAGE OR FILTRATION , , , ,CONEMAUGH GROUP ,SANDSTONE , ,UNKNOWN ,REPORTED ,ESTIMATED ,2.5,1/1/1971, ,1/1/1971,Bedford
1170,2050303,SEEPAGE OR FILTRATION , , , ,CONEMAUGH GROUP ,SANDSTONE AND SHALE , ,FLOWING ,USGS OR PAGS , ,6.5,12/31/1973, , ,Bedford
1170,2050303,SEEPAGE OR FILTRATION , , , ,CONEMAUGH GROUP ,SANDSTONE AND SHALE , ,FLOWING ,UNKNOWN ,REPORTED METHOD NOT KNOWN ,6.5,1/1/1971, ,1/1/1971,Bedford
1169,2050303,SEEPAGE OR FILTRATION , , , ,REEDSVILLE FORMATION ,SHALE , ,FLOWING ,USGS OR PAGS , ,7,8/22/1972, , ,Bedford
