PASpringID,SpringName,County,Municipality,QuadName,LatitudeDD,LongitudeDD,LatLongAccuracy,Elevation(ft),ElevAccuracy(ft),ElevMethod,Topography,DateOwned,SourceOfSiteRecord,ExplanationOfSource,UseOfSite,AgencyUseOfSite,WaterUse,SpringImprovement,DataReliability,OtherIdentifier,OtherIDAssignor,RemarkDate,Remark
1983,IRON SPRING ,ADAMS ,HAMILTONBAN TWP. , ,39.77536,-77.40611,ACCURATE TO +5 SECONDS ,729,1,PAMAP DIGITAL ELEVATION MODEL ,FLAT SURFACE , ,PAGS ,Sites located by PAGS staff for which a Water Well Completion Report was available. ,UNUSED ,INACTIVE OR DISCONTINUED DATA COLLECTION SITE ,UNUSED , ,FIELD CHECKED BY REPORTING AGENCY , , ,12/2/2014,Fauth (1978) Atlas 129c EG-7 part 3 p. 80; fault contact spring; issues from contact of quartzite and phyllite;Montalto member quartzite outcrop at 39.77551;-77.40157 (photos 2923-28); Neboga located spring 0.5 mi W behind Brethren in Christ Church 
1829, ,ADAMS ,FRANKLIN TWP. , ,39.89111,-77.37075,ACCURATE TO +1 SECOND ,832,1,PAMAP DIGITAL ELEVATION MODEL ,STREAM CHANNEL ,10/30/1925 0:00,PAGS OTHER THAN WWI ,Sites located by PaGS staff for which no Water Well Completion Report was available ,WITHDRAWAL ,ACTIVE DATA COLLECTION SITE ,DOMESTIC ,SPRING HOUSE ,FIELD CHECKED BY REPORTING AGENCY ,7,Neboga ,10/10/2014,Neboga field checked on 06/19/2015;3 miles NW from Cashtown ~500 ft north of Old Rt 30;old springhouse; underground pumping water to Gary Koppenhaver? Spring is at the boundary between two properties but the owner said it might belong to Commonwealth 
1718, ,ADAMS ,BERWICK TWP. ,HANOVER ,39.86433,-76.99834,ACCURATE TO +1 SECOND ,707,1,PAMAP DIGITAL ELEVATION MODEL ,HILLSIDE , ,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory ,ABANDONED ,INACTIVE OR DISCONTINUED DATA COLLECTION SITE ,UNUSED ,SPRING HOUSE ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) , , ,12/15/2014,Neboga field checked on 07/17/15. Spring is no longer in use well below the springhouse abandoned (ID2779)and well head covered with stones. Water issues from the stone wall ~5 m E from springhouse (see test).Abandoned spring house 100 ft N(photos2856-79 
1716, ,ADAMS ,UNION TWP. ,MCSHERRYSTOWN ,39.77194,-77.06222,ACCURATE TO +1 SECOND ,562,1,PAMAP DIGITAL ELEVATION MODEL ,FLAT SURFACE , ,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory ,WITHDRAWAL ,INVENTORY DATA SITE ONLY ,DEWATER , ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) , , ,12/15/2014, 
1715, ,ADAMS ,UNION TWP. ,MCSHERRYSTOWN ,39.77111,-77.07028,ACCURATE TO +1 SECOND ,568,1,PAMAP DIGITAL ELEVATION MODEL ,FLAT SURFACE , ,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory ,WITHDRAWAL ,INVENTORY DATA SITE ONLY ,DEWATER , ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) , , ,12/15/2014, 
1159,YORK SULPHUR SPRING ,ADAMS ,LATIMORE TWP. ,HAMPTON ,39.99623,-77.09401,ACCURATE TO +1 SECOND ,509,1,PAMAP DIGITAL ELEVATION MODEL ,VALLEY FLAT ,1/1/1955 0:00,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory ,UNUSED ,INVENTORY DATA SITE ONLY ,UNUSED ,SPRING HOUSE ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) ,Ad-2 ,Flippo ,6/11/2015,W-2; Flippo(1974) EG-7 part 3; W2 p.96;Neboga field checked in 07/17/15.Hydrogen-sulfide odor gas bubbles issued from the bottom.  Owner restored gazebo and masonry sandstone wall around spring (photos2845-50). 
1155, ,ADAMS ,READING TWP. ,ABBOTTSTOWN ,39.94324,-76.99158,ACCURATE TO +1 SECOND ,410,1,PAMAP DIGITAL ELEVATION MODEL ,VALLEY FLAT , ,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory ,WITHDRAWAL ,INVENTORY DATA SITE ONLY ,DOMESTIC ,SPRING HOUSE ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) , , ,7/15/2015,Spring feeds the stream which is tributary to Conewago Stream; spring issues from 3 ft below; stream was dry during the field survey on 07/17/15. 
1154,Stillhouse Spring ,ADAMS ,FRANKLIN TWP. ,CALEDONIA PARK ,39.9225,-77.46389,ACCURATE TO +1 SECOND ,1075,1,PAMAP DIGITAL ELEVATION MODEL ,HILLSIDE ,10/28/1925 0:00,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory ,ABANDONED ,INVENTORY DATA SITE ONLY ,UNUSED , ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) ,39,Hall ,6/11/2015,W2 page. 97 No. 39 spring issued from quartzite. Location is approximate did not verified in the field. Quartzite outcrops: 39.92204; -77.46210 
1152, ,ADAMS ,FRANKLIN TWP. ,CALEDONIA PARK ,39.88472,-77.36284,ACCURATE TO +1 SECOND ,834,1,PAMAP DIGITAL ELEVATION MODEL ,HILLSIDE , ,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory ,UNUSED ,INVENTORY DATA SITE ONLY ,UNUSED , ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) ,Ad-3 ,Flippo ,6/11/2015,W2 page.97 spring 38; full analysis. Neboga field checked it on June 16 2015 but could not find it; moved location 1 mile east on Old Rt 30 according Flippo (1974). 
1149, ,ADAMS ,BERWICK TWP. ,MCSHERRYSTOWN ,39.86547,-77.01507,ACCURATE TO +1 SECOND ,586,1,PAMAP DIGITAL ELEVATION MODEL ,HILLSIDE , ,USGS - GWSI ,Field Verified sites from the USGS's National Ground Water Site Inventory ,WITHDRAWAL ,INVENTORY DATA SITE ONLY ,RECREATION ,SPRING HOUSE ,FIELD CHECKED BY REPORTING AGENCY (PaDAg pest. survey) , , ,7/17/2015,Neboga field checked in 07/17/15 moved location 20 m E. Spring issues from the springhouse concrete basin about 4 ft deep water pumped to the pond; used to be domestic water source until 1965; now use well. Address: 2735 Carlisle Pike. 
