agency,gross,site_number,station,site_type,lat,long,dec_coord_datum_cd,state,county
USGS,1619320,1619320,"ALB. POWELL FISH HATCHERY SP. AT BEAVER CREEK, MD",SP,39.58954224,-77.63832438,NAD83,MD,43
USGS,1621014,1621014,"SPRING AT SPARKLING SPRINGS, VA",SP,38.55151008,-78.9522515,NAD83,MD,165
USGS,3.82338E+14,382338076304301,South seep,SP,38.3940129,-76.5116205,NAD83,MD,9
USGS,3.82339E+14,382339076304301,"Center Seep, Patterson Park Shore",SP,38.39429068,-76.5116205,NAD83,MD,9
USGS,3.8234E+14,382340076304301,North seep,SP,38.39456845,-76.5116205,NAD83,MD,9
USGS,3.82948E+14,382948078575301,39RS  1,SP,38.4968,-78.9647611,NAD83,MD,165
USGS,3.83052E+14,383052077022701,CH Cd  48,SP,38.532343,-77.04191998,NAD83,MD,17
USGS,3.83136E+14,383136078563401,39SS  3,SP,38.52675278,-78.9429806,NAD83,MD,165
USGS,3.83149E+14,383149078570401,39SS-005,SP,38.53027778,-78.9511111,NAD83,MD,165
USGS,3.83234E+14,383234078553201,39SS  2,SP,38.54278889,-78.9255917,NAD83,MD,165
USGS,3.83255E+14,383255078561901,39SS  4,SP,38.5486111,-78.9386111,NAD83,MD,165
USGS,3.83441E+14,383441076535101,CH Cf  14,SP,38.57817545,-76.8971935,NAD83,MD,17
USGS,3.83454E+14,383454076523401,CH Cf  24,SP,38.5817865,-76.8758039,NAD83,MD,17
USGS,3.83553E+14,383553077044901,CH Bd  12,SP,38.59789656,-77.0774769,NAD83,MD,17
USGS,3.8383E+14,383830076565001,CH Be  30,SP,38.64178449,-76.94691769,NAD83,MD,17
USGS,3.84815E+14,384815076394001,AA Fd   1,SP,38.80428168,-76.6607974,NAD83,MD,3
USGS,3.85344E+14,385344076354501,AA Ed  20,SP,38.89566898,-76.59551799,NAD83,MD,3
USGS,3.85619E+14,385619077063601,Spring 1 at Dalecarlia Reservoir,SP,38.9386111,-77.11,NAD83,MD,1
USGS,3.85824E+14,385824077001901,MO Fg  10,SP,38.9734438,-77.0049764,NAD83,MD,31
USGS,3.85825E+14,385825077001701,PG Cb   1,SP,38.97372157,-77.0044208,NAD83,MD,33
USGS,3.85946E+14,385946077095901,MO Ff  18,SP,38.99622099,-77.16609048,NAD83,MD,31
USGS,3.90124E+14,390124076135801,KE Eb   3,SP,39.023445,-76.2324533,NAD83,MD,29
USGS,3.90231E+14,390231077155401,MO Ed  11,SP,39.04205339,-77.2647041,NAD83,MD,31
USGS,3.90246E+14,390246077163801,MO Ed   8,SP,39.04621994,-77.2769268,NAD83,MD,31
USGS,3.90255E+14,390255077163701,MO Ed   9,SP,39.04871989,-77.27664908,NAD83,MD,31
USGS,3.90303E+14,390303077164701,MO Ed  10,SP,39.05094207,-77.279427,NAD83,MD,31
USGS,3.90337E+14,390337077094601,MO Ef  50,SP,39.06038655,-77.16247989,NAD83,MD,31
USGS,3.90655E+14,390655076540301,MO Di   4,SP,39.11538595,-76.90052988,NAD83,MD,31
USGS,3.90825E+14,390825077132501,MO De  42,SP,39.1403851,-77.2233154,NAD83,MD,31
USGS,3.9094E+14,390940076581001,HO Dd  13,SP,39.1612183,-76.969143,NAD83,MD,27
USGS,3.91013E+14,391013077281101,MO Cb  12,SP,39.1712159,-77.469432,NAD83,MD,31
USGS,3.91054E+14,391054076575801,HO Cd 240,SP,39.18177354,-76.9658097,NAD83,MD,27
USGS,3.91107E+14,391107076534701,HO Ce  35,SP,39.1853848,-76.89608588,NAD83,MD,27
USGS,3.9111E+14,391110076542201,HO Ce  34,SP,39.18649587,-76.9058083,NAD83,MD,27
USGS,3.91116E+14,391116076495401,HO Cf  38,SP,39.18760719,-76.8319177,NAD83,MD,27
USGS,3.91117E+14,391117076535401,HO Ce  28,SP,39.1881625,-76.89803039,NAD83,MD,27
USGS,3.91126E+14,391126076541901,HO Ce  25,SP,39.19066247,-76.904975,NAD83,MD,27
USGS,3.91132E+14,391132076545001,HO Ce  36,SP,39.19232908,-76.9135863,NAD83,MD,27
USGS,3.91201E+14,391201077035601,MO Cg  18,SP,39.20038417,-77.06525668,NAD83,MD,31
USGS,3.9122E+14,391220076534701,HO Ce  54,SP,39.20649557,-76.8963638,NAD83,MD,27
USGS,3.91232E+14,391232079285001,GA Ga   1,SP,39.20899597,-79.4803304,NAD83,MD,23
USGS,3.91247E+14,391247077032001,MO Cg  19,SP,39.2131617,-77.0552565,NAD83,MD,31
USGS,3.91247E+14,391247079290501,GA Ga   7,SP,39.2131626,-79.4844973,NAD83,MD,23
USGS,3.91258E+14,391258079283501,GA Ga  11,SP,39.2162181,-79.4761636,NAD83,MD,23
USGS,3.91303E+14,391303079280501,GA Ga  12,SP,39.21760694,-79.4678298,NAD83,MD,23
USGS,3.91308E+14,391308076425901,HO Cg  20,SP,39.21788494,-76.7177483,NAD83,MD,27
USGS,3.9132E+14,391320077270101,MO Cb  13,SP,39.2228814,-77.4491533,NAD83,MD,31
USGS,3.91321E+14,391321079280301,GA Ga  10,SP,39.22260688,-79.46727419,NAD83,MD,23
USGS,3.91322E+14,391322075463001,Seep NW of AND-IR-W-6S,SP,39.2228333,-75.7750833,NAD83,MD,35
USGS,3.91326E+14,391326079253701,ISLAND C AMD P AT HENRY WV,SP,39.2239956,-79.42671639,NAD83,MD,23
USGS,3.914E+14,391400077151401,MO Bd  12,SP,39.23343899,-77.253595,NAD83,MD,31
USGS,3.91408E+14,391408077032101,MO Cg  20,SP,39.2356613,-77.0555344,NAD83,MD,31
USGS,3.91415E+14,391415079270601,GA Ga   5,SP,39.23760665,-79.45144,NAD83,MD,23
USGS,3.91433E+14,391433079265801,GA Ga   4,SP,39.24260658,-79.4492177,NAD83,MD,23
USGS,3.91439E+14,391439076555601,HO Cd  80,SP,39.2448281,-76.9308093,NAD83,MD,27
USGS,3.91439E+14,391439076555602,HO Cd  81,SP,39.24455036,-76.9308093,NAD83,MD,27
USGS,3.91448E+14,391448076462001,HO Cf  32,SP,39.2473287,-76.7713615,NAD83,MD,27
USGS,3.91451E+14,391451077210001,MO Cc  71,SP,39.2476042,-77.34970748,NAD83,MD,31
USGS,3.91451E+14,391451079264201,GA Ga   2,SP,39.2476065,-79.44477299,NAD83,MD,23
USGS,3.91453E+14,391453075590801,KE Ce   2,SP,39.24816495,-75.9852205,NAD83,MD,29
USGS,3.91504E+14,391504079281701,GA Ga   9,SP,39.2512176,-79.4711633,NAD83,MD,23
USGS,3.91513E+14,391513076554201,HO Bd 188,SP,39.2537169,-76.92803158,NAD83,MD,27
USGS,3.91517E+14,391517076455801,BA Fb  77,SP,39.25482867,-76.7658059,NAD83,MD,5
USGS,3.91522E+14,391522079253701,METTIKI A&B MINE NR WILSON MD,SP,39.2562171,-79.4267163,NAD83,MD,23
USGS,3.91527E+14,391527076560701,HO Bd  15,SP,39.2576057,-76.9349762,NAD83,MD,27
USGS,3.91527E+14,391527079254101,METTIKI A&B AMD NR WILSON MD,SP,39.2576059,-79.4278274,NAD83,MD,23
USGS,3.91533E+14,391533076563301,HO Bd  18,SP,39.2592723,-76.9421986,NAD83,MD,27
USGS,3.91534E+14,391534077021701,HO Bc 264,SP,39.2595498,-77.0377564,NAD83,MD,27
USGS,3.91544E+14,391544079280601,GA Ga   8,SP,39.262328,-79.46810728,NAD83,MD,23
USGS,3.91553E+14,391553076483801,HO Bf  80,SP,39.2648284,-76.8102514,NAD83,MD,27
USGS,3.91613E+14,391613077314601,FR Fc  22,SP,39.2703799,-77.5291544,NAD83,MD,21
USGS,3.91616E+14,391616079245101,GA Fb   1,SP,39.27121618,-79.4139374,NAD83,MD,23
