agency,gross,site_number,datetime,cfs
USGS,1619320,1619320,4/22/1987,8.9
USGS,1619320,1619320,4/23/1987,8.9
USGS,1619320,1619320,4/24/1987,8.9
USGS,1619320,1619320,4/25/1987,8.7
USGS,1619320,1619320,4/26/1987,8.5
USGS,1619320,1619320,4/27/1987,8.5
USGS,1619320,1619320,4/28/1987,8.5
USGS,1619320,1619320,4/29/1987,8.7
USGS,1619320,1619320,4/30/1987,8.7
USGS,1619320,1619320,5/1/1987,8.6
USGS,1619320,1619320,5/2/1987,8.5
USGS,1619320,1619320,5/3/1987,8.5
USGS,1619320,1619320,5/4/1987,8.5
USGS,1619320,1619320,5/5/1987,8.5
USGS,1619320,1619320,5/6/1987,8.5
USGS,1619320,1619320,5/7/1987,8.5
USGS,1619320,1619320,5/8/1987,8.4
USGS,1619320,1619320,5/9/1987,8.3
USGS,1619320,1619320,5/10/1987,8.2
USGS,1619320,1619320,5/11/1987,8
USGS,1619320,1619320,5/12/1987,8.1
USGS,1619320,1619320,5/13/1987,8.3
USGS,1619320,1619320,5/14/1987,8.3
USGS,1619320,1619320,5/15/1987,8.2
USGS,1619320,1619320,5/16/1987,8
USGS,1619320,1619320,5/17/1987,8
USGS,1619320,1619320,5/18/1987,8
USGS,1619320,1619320,5/19/1987,8
USGS,1619320,1619320,5/20/1987,8
USGS,1619320,1619320,5/21/1987,8
USGS,1619320,1619320,5/22/1987,8
USGS,1619320,1619320,5/23/1987,8
USGS,1619320,1619320,5/24/1987,7.8
USGS,1619320,1619320,5/25/1987,7.8
USGS,1619320,1619320,5/26/1987,7.8
USGS,1619320,1619320,5/27/1987,7.8
USGS,1619320,1619320,5/28/1987,7.8
USGS,1619320,1619320,5/29/1987,7.8
USGS,1619320,1619320,5/30/1987,7.8
USGS,1619320,1619320,5/31/1987,7.8
USGS,1619320,1619320,6/1/1987,7.7
USGS,1619320,1619320,6/2/1987,7.6
USGS,1619320,1619320,6/3/1987,7.6
USGS,1619320,1619320,6/4/1987,7.6
USGS,1619320,1619320,6/5/1987,7.6
USGS,1619320,1619320,6/6/1987,7.6
USGS,1619320,1619320,6/7/1987,7.6
USGS,1619320,1619320,6/8/1987,7.6
USGS,1619320,1619320,6/9/1987,7.6
USGS,1619320,1619320,6/10/1987,7.6
USGS,1619320,1619320,6/11/1987,7.6
USGS,1619320,1619320,6/12/1987,7.6
USGS,1619320,1619320,6/13/1987,7.6
USGS,1619320,1619320,6/14/1987,7.6
USGS,1619320,1619320,6/15/1987,7.6
USGS,1619320,1619320,6/16/1987,7.6
USGS,1619320,1619320,6/17/1987,7.6
USGS,1619320,1619320,6/18/1987,7.6
USGS,1619320,1619320,6/19/1987,7.6
USGS,1619320,1619320,6/20/1987,7.6
USGS,1619320,1619320,6/21/1987,7.6
USGS,1619320,1619320,6/22/1987,7.6
USGS,1619320,1619320,6/23/1987,7.6
USGS,1619320,1619320,6/24/1987,7.6
USGS,1619320,1619320,6/25/1987,7.5
USGS,1619320,1619320,6/26/1987,7.4
USGS,1619320,1619320,6/27/1987,7.4
USGS,1619320,1619320,6/28/1987,7.2
USGS,1619320,1619320,6/29/1987,7.2
USGS,1619320,1619320,6/30/1987,7.2
USGS,1619320,1619320,7/1/1987,7.2
USGS,1619320,1619320,7/2/1987,7.3
USGS,1619320,1619320,7/3/1987,7.6
USGS,1619320,1619320,7/4/1987,7.4
USGS,1619320,1619320,7/5/1987,7.8
USGS,1619320,1619320,7/6/1987,7.6
USGS,1619320,1619320,7/7/1987,7.6
USGS,1619320,1619320,7/8/1987,7.6
USGS,1619320,1619320,7/9/1987,7.6
USGS,1619320,1619320,7/10/1987,7.6
USGS,1619320,1619320,7/11/1987,7.6
USGS,1619320,1619320,7/12/1987,7.6
USGS,1619320,1619320,7/13/1987,7.6
USGS,1619320,1619320,7/14/1987,7.5
USGS,1619320,1619320,7/15/1987,7.4
USGS,1619320,1619320,7/16/1987,7.4
USGS,1619320,1619320,7/17/1987,7.4
USGS,1619320,1619320,7/18/1987,7.2
USGS,1619320,1619320,7/19/1987,7.2
USGS,1619320,1619320,7/20/1987,7.2
USGS,1619320,1619320,7/21/1987,7.2
USGS,1619320,1619320,7/22/1987,7.2
USGS,1619320,1619320,7/23/1987,7.2
USGS,1619320,1619320,7/24/1987,7.2
USGS,1619320,1619320,7/25/1987,7.2
USGS,1619320,1619320,7/26/1987,7.1
USGS,1619320,1619320,7/27/1987,7
USGS,1619320,1619320,7/28/1987,7
USGS,1619320,1619320,7/29/1987,7
USGS,1619320,1619320,7/30/1987,7
USGS,1619320,1619320,7/31/1987,7
USGS,1619320,1619320,8/1/1987,7
USGS,1619320,1619320,8/2/1987,7
USGS,1619320,1619320,8/3/1987,7
USGS,1619320,1619320,8/4/1987,7
USGS,1619320,1619320,8/5/1987,7
USGS,1619320,1619320,8/6/1987,7
USGS,1619320,1619320,8/7/1987,7
USGS,1619320,1619320,8/8/1987,7
USGS,1619320,1619320,8/9/1987,6.9
USGS,1619320,1619320,8/10/1987,6.8
USGS,1619320,1619320,8/11/1987,6.8
USGS,1619320,1619320,8/12/1987,6.8
USGS,1619320,1619320,8/13/1987,6.8
USGS,1619320,1619320,8/14/1987,6.8
USGS,1619320,1619320,8/15/1987,6.8
USGS,1619320,1619320,8/16/1987,6.8
USGS,1619320,1619320,8/17/1987,6.8
USGS,1619320,1619320,8/18/1987,6.8
USGS,1619320,1619320,8/19/1987,6.8
USGS,1619320,1619320,8/20/1987,6.6
USGS,1619320,1619320,8/21/1987,6.5
USGS,1619320,1619320,8/22/1987,6.5
USGS,1619320,1619320,8/23/1987,6.4
USGS,1619320,1619320,8/24/1987,6.3
USGS,1619320,1619320,8/25/1987,6.3
USGS,1619320,1619320,8/26/1987,6.3
USGS,1619320,1619320,8/27/1987,6.4
USGS,1619320,1619320,8/28/1987,6.5
USGS,1619320,1619320,8/29/1987,6.4
USGS,1619320,1619320,8/30/1987,6.3
USGS,1619320,1619320,8/31/1987,6.3
USGS,1619320,1619320,9/1/1987,6.3
USGS,1619320,1619320,9/2/1987,6.3
USGS,1619320,1619320,9/3/1987,6.3
USGS,1619320,1619320,9/4/1987,6.3
USGS,1619320,1619320,9/5/1987,6.3
USGS,1619320,1619320,9/6/1987,6.3
USGS,1619320,1619320,9/7/1987,6.3
USGS,1619320,1619320,9/8/1987,6.3
USGS,1619320,1619320,9/9/1987,6.3
USGS,1619320,1619320,9/10/1987,6.3
USGS,1619320,1619320,9/11/1987,6.3
USGS,1619320,1619320,9/12/1987,6.3
USGS,1619320,1619320,9/13/1987,6.3
USGS,1619320,1619320,9/14/1987,6.2
USGS,1619320,1619320,9/15/1987,6.1
USGS,1619320,1619320,9/16/1987,6.1
USGS,1619320,1619320,9/17/1987,6.1
USGS,1619320,1619320,9/18/1987,6.2
USGS,1619320,1619320,9/19/1987,6.3
USGS,1619320,1619320,9/20/1987,6.3
USGS,1619320,1619320,9/21/1987,6.3
USGS,1619320,1619320,9/22/1987,6.3
USGS,1619320,1619320,9/23/1987,6.3
USGS,1619320,1619320,9/24/1987,6.3
USGS,1619320,1619320,9/25/1987,6.2
USGS,1619320,1619320,9/26/1987,6.1
USGS,1619320,1619320,9/27/1987,6.1
USGS,1619320,1619320,9/28/1987,6.1
USGS,1619320,1619320,9/29/1987,6.1
USGS,1619320,1619320,9/30/1987,6.1
USGS,1619320,1619320,10/1/1987,5.9
USGS,1619320,1619320,10/2/1987,5.9
USGS,1619320,1619320,10/3/1987,5.8
USGS,1619320,1619320,10/4/1987,5.7
USGS,1619320,1619320,10/5/1987,5.7
USGS,1619320,1619320,10/6/1987,5.7
USGS,1619320,1619320,10/7/1987,5.9
USGS,1619320,1619320,10/8/1987,5.8
USGS,1619320,1619320,10/9/1987,5.7
USGS,1619320,1619320,10/10/1987,5.7
USGS,1619320,1619320,10/11/1987,5.7
USGS,1619320,1619320,10/12/1987,5.7
USGS,1619320,1619320,10/13/1987,5.7
USGS,1619320,1619320,10/14/1987,5.7
USGS,1619320,1619320,10/15/1987,5.7
USGS,1619320,1619320,10/16/1987,5.7
USGS,1619320,1619320,10/17/1987,5.7
USGS,1619320,1619320,10/18/1987,5.7
USGS,1619320,1619320,10/19/1987,5.7
USGS,1619320,1619320,10/20/1987,5.7
USGS,1619320,1619320,10/21/1987,5.7
USGS,1619320,1619320,10/22/1987,5.7
USGS,1619320,1619320,10/23/1987,5.7
USGS,1619320,1619320,10/24/1987,5.5
USGS,1619320,1619320,10/25/1987,5.4
USGS,1619320,1619320,10/26/1987,5.4
USGS,1619320,1619320,10/27/1987,5.5
USGS,1619320,1619320,10/28/1987,5.7
USGS,1619320,1619320,10/29/1987,5.7
USGS,1619320,1619320,10/30/1987,5.7
USGS,1619320,1619320,10/31/1987,5.4
USGS,1619320,1619320,11/1/1987,5.4
USGS,1619320,1619320,11/2/1987,5.4
