agency_cd,site_no,site_number,sample_dt,sample_tm,p00630,p00631
USGS,1621014,1621014,4/15/1993,13:45,,0.074
USGS,3.82338E+14,382338076304301,3/31/1994,11:10,,4.6
USGS,3.82339E+14,382339076304301,3/31/1994,11:00,,1.4
USGS,3.8234E+14,382340076304301,3/31/1994,11:05,,0.19
USGS,3.82948E+14,382948078575301,4/14/1999,15:00,,4.11
USGS,3.83052E+14,383052077022701,11/2/1999,12:20,,0.15
USGS,3.83052E+14,383052077022701,2/9/2000,14:45,,0.46
USGS,3.83052E+14,383052077022701,6/14/2000,10:15,,0.33
USGS,3.83052E+14,383052077022701,8/8/2000,13:45,,0.3
USGS,3.83136E+14,383136078563401,4/14/1999,14:00,,3.55
USGS,3.83149E+14,383149078570401,4/14/1999,11:30,,5.97
USGS,3.83234E+14,383234078553201,4/14/1999,13:00,,3.17
USGS,3.91054E+14,391054076575801,5/8/1989,14:20,3.5,
USGS,3.91054E+14,391054076575801,10/25/1989,10:55,4.1,
USGS,3.91247E+14,391247079290501,3/17/1983,13:30,,3
USGS,3.91247E+14,391247079290501,10/18/1983,9:30,,1.7
USGS,3.91258E+14,391258079283501,10/18/1983,13:00,,0.53
USGS,3.91303E+14,391303079280501,10/18/1983,10:45,,1.4
USGS,3.91321E+14,391321079280301,10/18/1983,16:00,,0.11
USGS,3.91326E+14,391326079253701,6/28/1984,16:45,0.6,0.6
USGS,3.91415E+14,391415079270601,10/18/1983,16:15,,0.92
USGS,3.91433E+14,391433079265801,10/18/1983,13:00,,1.3
USGS,3.91439E+14,391439076555601,12/1/1987,11:15,,6.8
USGS,3.91439E+14,391439076555601,12/1/1987,14:50,,4.9
USGS,3.91439E+14,391439076555601,12/2/1987,9:00,,6.6
USGS,3.91439E+14,391439076555601,12/2/1987,12:00,,6.8
USGS,3.91439E+14,391439076555601,12/3/1987,10:00,,7.8
USGS,3.91439E+14,391439076555601,12/3/1987,13:00,,7.8
USGS,3.91439E+14,391439076555601,3/17/1988,15:00,,8
USGS,3.91439E+14,391439076555601,4/13/1988,16:45,,8.6
USGS,3.91439E+14,391439076555601,6/9/1988,13:05,,7.1
USGS,3.91439E+14,391439076555601,7/6/1988,12:00,,7.6
USGS,3.91439E+14,391439076555601,8/23/1988,14:25,,5.8
USGS,3.91439E+14,391439076555601,9/15/1988,13:30,,5.2
USGS,3.91439E+14,391439076555601,10/19/1988,11:00,,6.3
USGS,3.91439E+14,391439076555601,11/23/1988,13:30,,5.9
USGS,3.91439E+14,391439076555601,1/19/1989,11:15,,5.8
USGS,3.91439E+14,391439076555601,2/15/1989,10:45,,5.1
USGS,3.91439E+14,391439076555601,4/6/1989,13:45,,5.6
USGS,3.91439E+14,391439076555601,5/3/1989,11:20,,5.6
USGS,3.91439E+14,391439076555601,9/14/1989,14:35,,4.3
USGS,3.91439E+14,391439076555601,11/2/1989,13:35,,4.7
USGS,3.91439E+14,391439076555601,12/15/1989,10:10,,4.3
USGS,3.91439E+14,391439076555601,1/19/1990,9:30,,3.9
USGS,3.91439E+14,391439076555601,2/13/1990,11:50,,3.4
USGS,3.91439E+14,391439076555601,2/13/1990,11:55,,3.5
USGS,3.91439E+14,391439076555601,3/20/1990,13:50,,4
USGS,3.91439E+14,391439076555601,4/24/1990,12:10,,3.6
USGS,3.91439E+14,391439076555601,5/16/1990,11:00,,3.5
USGS,3.91439E+14,391439076555601,6/19/1990,11:20,,3.4
USGS,3.91439E+14,391439076555601,7/24/1990,11:30,,3.5
USGS,3.91439E+14,391439076555601,8/16/1990,11:15,,3.5
USGS,3.91439E+14,391439076555601,9/26/1990,13:30,,3.2
USGS,3.91439E+14,391439076555601,11/14/1990,13:45,,3.3
USGS,3.91439E+14,391439076555601,1/15/1991,13:40,,3.2
USGS,3.91439E+14,391439076555601,2/26/1991,14:40,,3.4
USGS,3.91439E+14,391439076555601,4/2/1991,13:00,,1.3
USGS,3.91439E+14,391439076555601,6/7/1991,10:30,,3.5
USGS,3.91439E+14,391439076555601,7/16/1991,12:40,,2.5
USGS,3.91439E+14,391439076555601,9/9/1991,15:30,,3.3
USGS,3.91439E+14,391439076555601,10/30/1991,10:00,,3
USGS,3.91439E+14,391439076555601,12/18/1991,12:00,,3.2
USGS,3.91439E+14,391439076555601,1/29/1992,12:20,,3.2
USGS,3.91439E+14,391439076555601,6/22/1992,14:20,,3.5
USGS,3.91439E+14,391439076555601,6/22/1992,14:25,,3.4
USGS,3.91439E+14,391439076555601,9/2/1992,13:45,,3.7
USGS,3.91439E+14,391439076555601,2/22/1993,15:00,,5.1
USGS,3.91439E+14,391439076555602,3/17/1988,15:50,,5.2
USGS,3.91439E+14,391439076555602,4/13/1988,15:35,,5.3
USGS,3.91439E+14,391439076555602,6/9/1988,13:55,,4.9
USGS,3.91439E+14,391439076555602,7/6/1988,12:05,,4.6
USGS,3.91439E+14,391439076555602,8/23/1988,14:35,,5.4
