agency_cd,site_no,site_number,station_nm,site_tp_cd,lat,long,dec_coord_datum_cd,district_cd,state,county_cd
USGS,1302008,1302008,HILLVIEW RESERVOIR STONEWALL SEEPAGE NR YONKERS NY,SP,40.90716667,-73.86952778,NAD83,36,NY,119
USGS,1330010,1330010,SA 878,SP,43.03090817,-73.9279023,NAD83,36,NY,91
USGS,1361040,1361040,CB1070,SP,42.22842147,-73.63317579,NAD83,36,NY,21
USGS,4237960,4237960,OD1814,SP,42.89216667,-76.16352778,NAD83,36,NY,67
USGS,4.04523E+14,404523073444001,ALLEY POND SPRING,SP,40.75649094,-73.7440209,NAD83,36,NY,81
USGS,4.05425E+14,405425073520901,HILLVIEW RESERVOIR HILLSIDE SEEP B NR YONKERS NY,SP,40.90715556,-73.8693806,NAD83,36,NY,119
USGS,4.05425E+14,405425073521001,HILLVIEW RESERVOIR HILLSIDE SEEP F NR YONKERS NY,SP,40.90709444,-73.8694472,NAD83,36,NY,119
USGS,4.05425E+14,405425073521101,HILLVIEW RESERVOIR HILLSIDE SEEP E NR YONKERS NY,SP,40.90716667,-73.86952778,NAD83,36,NY,119
USGS,4.05426E+14,405426073521005,HILLVIEW RESERVOIR HILLSIDE SEEP C NR YONKERS NY,SP,40.9073111,-73.869325,NAD83,36,NY,119
USGS,4.05426E+14,405426073521006,HILLVIEW RESERVOIR HILLSIDE SEEP D NR YONKERS NY,SP,40.9073472,-73.8695444,NAD83,36,NY,119
USGS,4.05426E+14,405426073521007,HILLVIEW RESERVOIR HILLSIDE SEEP I NR YONKERS NY,SP,40.90727778,-73.86956389,NAD83,36,NY,119
USGS,4.05426E+14,405426073521101,HILLVIEW RESERVOIR HILLSIDE SEEP A NR YONKERS NY,SP,40.9074083,-73.8694194,NAD83,36,NY,119
USGS,4.05427E+14,405427073521002,HILLVIEW RESERVOIR HILLSIDE SEEP G NR YONKERS NY,SP,40.9074083,-73.8694694,NAD83,36,NY,119
USGS,4.10923E+14,410923073440901,WE3804,SP,41.15648444,-73.73540949,NAD83,36,NY,119
USGS,4.1105E+14,411050073455901,WE3840,SP,41.1806507,-73.7659662,NAD83,36,NY,119
USGS,4.11156E+14,411156073400601,WE3820,SP,41.1989841,-73.6679072,NAD83,36,NY,119
USGS,4.11219E+14,411219073412901,WE3842,SP,41.2053728,-73.6909637,NAD83,36,NY,119
USGS,4.1123E+14,411230073331101,WE3821,SP,41.2084289,-73.5526252,NAD83,36,NY,119
USGS,4.11303E+14,411303073452701,WE3839,SP,41.2175946,-73.75707728,NAD83,36,NY,119
USGS,4.11341E+14,411341073445201,WE3832,SP,41.22815005,-73.7473548,NAD83,36,NY,119
USGS,4.11344E+14,411344073364701,WE3822,SP,41.228984,-73.6126276,NAD83,36,NY,119
USGS,4.11352E+14,411352073445901,WE3831,SP,41.23120555,-73.7492993,NAD83,36,NY,119
USGS,4.11402E+14,411402073381701,WE3806,SP,41.23398385,-73.63762858,NAD83,36,NY,119
USGS,4.1141E+14,411410073413801,WE3805,SP,41.23620576,-73.69346398,NAD83,36,NY,119
USGS,4.11428E+14,411428073345501,WE3819,SP,41.24120628,-73.58151549,NAD83,36,NY,119
USGS,4.11458E+14,411458073364701,WE3823,SP,41.24981717,-73.6073498,NAD83,36,NY,119
USGS,4.1155E+14,411550073335901,WE3834,SP,41.26398399,-73.5659594,NAD83,36,NY,119
USGS,4.11554E+14,411554073315201,WE3833,SP,41.26509528,-73.5306804,NAD83,36,NY,119
USGS,4.11601E+14,411601073381501,WE3818,SP,41.26703915,-73.6370731,NAD83,36,NY,119
USGS,4.11603E+14,411603073500001,WE3991,SP,41.267594,-73.8329132,NAD83,36,NY,119
USGS,4.11607E+14,411607073484401,WE3993,SP,41.26870515,-73.8118014,NAD83,36,NY,119
USGS,4.11632E+14,411632073502801,WE3992,SP,41.27564956,-73.8406912,NAD83,36,NY,119
USGS,4.11638E+14,411638073375701,WE3817,SP,41.2773169,-73.6320729,NAD83,36,NY,119
USGS,4.11731E+14,411731073403401,WE3813,SP,41.2920388,-73.6756855,NAD83,36,NY,119
USGS,4.11734E+14,411734073422501,WE3809,SP,41.292872,-73.7070755,NAD83,36,NY,119
USGS,4.11739E+14,411739073560801,WE3985,SP,41.29426058,-73.9351386,NAD83,36,NY,119
USGS,4.11746E+14,411746073423101,WE3808,SP,41.2962053,-73.7081867,NAD83,36,NY,119
USGS,4.11803E+14,411803073545801,WE3986,SP,41.30092724,-73.9156935,NAD83,36,NY,119
USGS,4.11811E+14,411811073410501,WE3807,SP,41.30314984,-73.6842969,NAD83,36,NY,119
USGS,4.11818E+14,411818073363801,WE3836,SP,41.30509465,-73.6101276,NAD83,36,NY,119
USGS,4.1182E+14,411820073493501,WE3988,SP,41.30564949,-73.8259683,NAD83,36,NY,119
USGS,4.11821E+14,411821073544601,WE3984,SP,41.3059272,-73.91235999,NAD83,36,NY,119
