agency_cd,site_no,site_number,sample_dt,sample_tm,p00630,p00631
USGS,4.15E+14,414559075032200,7/11/1973,10:00,,1.3
USGS,4.16E+14,415534074040000,7/12/1973,14:15,,2.4
USGS,4.20E+14,420438074593500,7/11/1973,12:30,,0.45
USGS,4.22E+14,421612073573201,6/13/1975,9:45,,0.01
USGS,4.22E+14,421807074150901,8/12/1992,10:00,,0.11
USGS,4.22E+14,421812074154601,8/31/1992,10:00,,0.85
USGS,4.22E+14,421826074143701,6/27/1991,13:20,1.6,
USGS,4.22E+14,421827074160103,7/29/1992,11:00,,1
USGS,4.22E+14,421830074154101,7/29/1992,13:00,,0.44
USGS,4.22E+14,421832074145901,7/28/1992,14:15,,1.9
USGS,4.22E+14,421903074152302,7/29/1992,9:36,,0.4
USGS,4.22E+14,422122078495200,8/30/1973,11:30,,0.24
USGS,4.24E+14,423943077460400,11/16/1973,12:00,1.8,
USGS,4.24E+14,424418073494601,4/11/1979,13:30,,0.78
USGS,4.24E+14,424418073494601,9/18/1979,14:00,,1.8
USGS,4.25E+14,424920074395301,8/4/1994,14:30,,0.47
USGS,4.25E+14,425113076083403,11/6/2008,10:40,,0.04
USGS,4.25E+14,425113076083405,1/13/2006,9:40,,2.22
USGS,4.26E+14,425612074252501,7/21/1994,10:30,,0.9
USGS,4.26E+14,425659075013001,10/20/1994,14:30,,0.81
USGS,4.30E+14,430249077283401,11/28/1983,,3.2,
USGS,4.30E+14,430249077283401,12/9/1983,,3.4,
USGS,4.30E+14,430249077283401,12/15/1983,,3.3,
USGS,4.30E+14,430249077283401,12/21/1983,,3.4,
USGS,4.30E+14,430249077283401,1/10/1984,,3.3,
USGS,4.30E+14,430249077283401,1/18/1984,,3.3,
USGS,4.30E+14,430249077283401,1/25/1984,,3.3,
USGS,4.30E+14,430249077283401,2/1/1984,,3.4,
USGS,4.30E+14,430249077283401,2/8/1984,,3.4,
USGS,4.30E+14,430249077283401,2/16/1984,,4,
USGS,4.30E+14,430249077283401,2/22/1984,,2.9,
USGS,4.30E+14,430249077283401,3/7/1984,,3.2,
