Agency,gross,site_number,station,site_type,lat,long,dec_coord_datum_cd,state,county
USGS,1569460,1569460,"Big Spring Creek at Big Spring, PA",SP,40.129533,-77.4072075,NAD83,PA,41
USGS,3070442,3070442,Left Diversion at Hagar Mine near Elliottsville,SP,39.7784096,-79.5900433,NAD83,PA,51
USGS,3.94321E+14,394321077062901,AD   SP1,SP,39.7225995,-77.1077609,NAD83,PA,1
USGS,3.94324E+14,394324080191201,GRSP2007,SP,39.7234131,-80.3197964,NAD83,PA,59
USGS,3.94328E+14,394328080192501,GRSP2006,SP,39.72452426,-80.3234076,NAD83,PA,59
USGS,3.94336E+14,394336080043001,GRSP1008,SP,39.72674569,-80.0747874,NAD83,PA,59
USGS,3.94337E+14,394337079025301,SO SP    9,SP,39.72702806,-79.0478043,NAD83,PA,111
USGS,3.94339E+14,394339080042701,GRSP1009,SP,39.727579,-80.073954,NAD83,PA,59
USGS,3.94342E+14,394342077395001,FR  SP23,SP,39.72842767,-77.6636038,NAD83,PA,55
USGS,3.94345E+14,394345080043601,GRSP1010,SP,39.7292456,-80.076454,NAD83,PA,59
USGS,3.94346E+14,394346077321301,FR  SP19,SP,39.7295388,-77.5366572,NAD83,PA,55
USGS,3.94351E+14,394351076031701,CH  SP69,SP,39.73086667,-76.0548167,NAD83,PA,29
USGS,3.94352E+14,394352079173801,SO SP   14,SP,39.73119057,-79.2936447,NAD83,PA,111
USGS,3.94353E+14,394353078554401,SO SP  128,SP,39.73147367,-78.92863428,NAD83,PA,111
USGS,3.94353E+14,394353079173501,SO SP   15,SP,39.7314683,-79.2928113,NAD83,PA,111
USGS,3.94354E+14,394354079174901,SO SP   27,SP,39.73174606,-79.2967003,NAD83,PA,111
USGS,3.94355E+14,394355079174801,SO SP   28,SP,39.7320238,-79.2964225,NAD83,PA,111
USGS,3.94356E+14,394356079174801,SO SP   29,SP,39.73230159,-79.2964225,NAD83,PA,111
USGS,3.94357E+14,394357079173201,SO SP   16,SP,39.73257939,-79.2919779,NAD83,PA,111
USGS,3.94358E+14,394358079172701,SO SP   17,SP,39.73285717,-79.290589,NAD83,PA,111
USGS,3.94359E+14,394359079172101,SO SP   18,SP,39.73313495,-79.2889223,NAD83,PA,111
USGS,3.94401E+14,394401080185201,GRSP2004,SP,39.73369059,-80.3142402,NAD83,PA,59
USGS,3.94403E+14,394403080185801,GRSP2005,SP,39.73424617,-80.3159069,NAD83,PA,59
USGS,3.94404E+14,394404079173701,SO SP   30,SP,39.7345237,-79.2933668,NAD83,PA,111
USGS,3.9441E+14,394410080051401,GRSP1019,SP,39.73618986,-80.0870097,NAD83,PA,59
USGS,3.94412E+14,394412080072701,GRSP1020,SP,39.7367453,-80.1239557,NAD83,PA,59
USGS,3.94412E+14,394412080073301,GRSP1021,SP,39.73674529,-80.12562239,NAD83,PA,59
USGS,3.94422E+14,394422076574801,YO  SP35,SP,39.73969444,-76.9633056,NAD83,PA,133
USGS,3.94427E+14,394427080072201,GRSP1022,SP,39.74091187,-80.1225665,NAD83,PA,59
USGS,3.94439E+14,394439076022701,CH  SP68,SP,39.74409167,-76.0408917,NAD83,PA,29
USGS,3.94441E+14,394441076570501,YO  SP34,SP,39.74477778,-76.9514722,NAD83,PA,133
USGS,3.9445E+14,394450077240901,AD  SP19,SP,39.74725,-77.40252778,NAD83,PA,1
USGS,3.9445E+14,394450080123501,GRSP1522,SP,39.74730035,-80.2095142,NAD83,PA,59
USGS,3.94451E+14,394451080123801,GRSP1523,SP,39.7475781,-80.21034758,NAD83,PA,59
USGS,3.94456E+14,394456080124001,GRSP1521,SP,39.74896698,-80.2109031,NAD83,PA,59
USGS,3.94502E+14,394502080260501,GRSP2304,SP,39.75063697,-80.4345198,NAD83,PA,59
USGS,3.94503E+14,394503080121601,GRSP1525,SP,39.7509114,-80.20423608,NAD83,PA,59
USGS,3.94504E+14,394504077232601,AD  SP17,SP,39.7512065,-77.39026589,NAD83,PA,1
USGS,3.94507E+14,394507080123901,GRSP1524,SP,39.75202247,-80.21062519,NAD83,PA,59
USGS,3.94508E+14,394508078571101,SO SP  136,SP,39.75230624,-78.95280148,NAD83,PA,111
USGS,3.9451E+14,394510080162401,GRSP1512,SP,39.7528561,-80.2731273,NAD83,PA,59
USGS,3.94511E+14,394511077240801,AD  SP18,SP,39.75305556,-77.4023056,NAD83,PA,1
USGS,3.94516E+14,394516076033501,CH  SP67,SP,39.7544833,-76.0597417,NAD83,PA,29
USGS,3.94516E+14,394516080140201,GRSP1517,SP,39.75452235,-80.23368159,NAD83,PA,59
USGS,3.94517E+14,394517078572001,SO SP  116,SP,39.75480617,-78.9553016,NAD83,PA,111
USGS,3.94518E+14,394518080163001,GRSP1511,SP,39.7550783,-80.27479389,NAD83,PA,59
USGS,3.94519E+14,394519080161601,GRSP1509,SP,39.755356,-80.2709049,NAD83,PA,59
USGS,3.94525E+14,394525080160201,GRSP1510,SP,39.75702257,-80.2670159,NAD83,PA,59
USGS,3.94527E+14,394527080193101,GRSP2000,SP,39.75757919,-80.3250727,NAD83,PA,59
USGS,3.94527E+14,394527080215801,GRSP2009,SP,39.75757995,-80.365907,NAD83,PA,59
USGS,3.94529E+14,394529080260501,GRSP2200,SP,39.75813676,-80.4345196,NAD83,PA,59
USGS,3.9453E+14,394530080140401,GRSP1516,SP,39.75841116,-80.234237,NAD83,PA,59
USGS,3.94531E+14,394531080041801,GRSP1014,SP,39.7586894,-80.0714527,NAD83,PA,59
USGS,3.94534E+14,394534080041001,GRSP1015,SP,39.7595227,-80.0692303,NAD83,PA,59
USGS,3.94536E+14,394536080225701,GRSP2003,SP,39.76008018,-80.3822961,NAD83,PA,59
USGS,3.94547E+14,394547080121101,GRSP1526,SP,39.76313337,-80.2028467,NAD83,PA,59
USGS,3.94548E+14,394548080215701,GRSP2008,SP,39.7634131,-80.36562899,NAD83,PA,59
USGS,3.94554E+14,394554080005101,GR SP250,SP,39.7650783,-80.0139501,NAD83,PA,59
USGS,3.94604E+14,394604080092101,GRSP1011,SP,39.7678556,-80.1556224,NAD83,PA,59
USGS,3.94616E+14,394616076560801,SP  33,SP,39.77119444,-76.9356111,NAD83,PA,133
USGS,3.94616E+14,394616077041301,AD  SP15,SP,39.77121046,-77.0699824,NAD83,PA,1
USGS,3.94619E+14,394619077034401,AD  SP16,SP,39.77204388,-77.0619267,NAD83,PA,1
USGS,3.9462E+14,394620076401001,YO  SP23,SP,39.772325,-76.669137,NAD83,PA,133
USGS,3.94621E+14,394621076400901,YO  SP24,SP,39.77260278,-76.6688592,NAD83,PA,133
USGS,3.94623E+14,394623080074401,GRSP1012,SP,39.77313339,-80.12867669,NAD83,PA,59
USGS,3.94625E+14,394625080172301,GRSP1507,SP,39.77368928,-80.2895158,NAD83,PA,59
USGS,3.94628E+14,394628080073801,GRSP1013,SP,39.77452225,-80.1270099,NAD83,PA,59
USGS,3.94628E+14,394628080123201,GRSP1520,SP,39.774522,-80.2086799,NAD83,PA,59
USGS,3.94632E+14,394632080043401,GRSP1032,SP,39.77563349,-80.07589669,NAD83,PA,59
USGS,3.94634E+14,394634080042301,GRSP1031,SP,39.77618904,-80.07284099,NAD83,PA,59
USGS,3.94634E+14,394634080044001,GRSP1033,SP,39.776189,-80.0775634,NAD83,PA,59
USGS,3.94637E+14,394637078540101,SO SP  112,SP,39.77702837,-78.90002238,NAD83,PA,111
