agency,gross,site_number,sample_dt,sample_tm,p00060,p00630,p00631
USGS,3.94345E+14,394345080043601,8/26/1981,15:00,,,3.7
USGS,3.94451E+14,394451080123801,9/1/1981,12:00,,,0.01
USGS,3.94527E+14,394527080193101,9/1/1981,10:00,,,0.49
USGS,3.94554E+14,394554080005101,8/26/1981,13:00,,,0.26
USGS,3.94659E+14,394659080292501,8/27/1981,13:30,,,1.5
USGS,3.94827E+14,394827079583601,8/27/1981,8:30,,,0.57
USGS,3.95014E+14,395014075530201,10/14/1992,16:18,,,7.1
USGS,3.95021E+14,395021077513201,8/8/1979,10:45,,,8.1
USGS,3.952E+14,395200075501801,9/9/1991,11:08,,,9.4
USGS,3.95239E+14,395239080230301,8/28/1981,12:30,,,0.19
USGS,3.95333E+14,395333080044501,8/28/1981,9:30,,,0.49
USGS,3.95412E+14,395412077360201,11/10/1971,11:30,3.7,,
USGS,3.95507E+14,395507075362301,11/1/1974,9:45,,,2.2
USGS,3.95925E+14,395925076153801,5/5/1999,15:30,,,9.67
USGS,3.95936E+14,395936080044301,8/28/1981,12:00,,,0.12
USGS,3.95945E+14,395945076151501,5/5/1999,12:30,,,12
USGS,3.95953E+14,395953076155401,5/4/1999,14:00,,,12
USGS,3.95953E+14,395953076155526,5/4/1999,9:00,,,12
USGS,4.00157E+14,400157075364001,8/27/1990,16:20,,,4.1
USGS,4.00201E+14,400201078394901,11/11/1971,8:15,2.9,,
USGS,4.00212E+14,400212075335001,6/13/1994,10:25,,,0.81
USGS,4.00248E+14,400248075320001,6/16/1994,13:39,,,3.1
USGS,4.00549E+14,400549075300701,10/30/1974,12:00,,,3.6
USGS,4.00603E+14,400603077184001,11/9/1971,9:00,1.7,,
USGS,4.00604E+14,400604077183701,11/9/1971,13:15,4.3,,
USGS,4.00605E+14,400605076335801,11/15/1971,11:30,3.9,,
USGS,4.00605E+14,400605076335801,8/18/1997,15:42,,,21.3
USGS,4.00605E+14,400605077183501,11/9/1971,13:45,0.24,,
