OBJECTID,SITENO,SITENAME,CATEGORY,AGENCY,LONGDD,LATDD,SITEURL,Flow,Concentration,Load
1,1569460,"Big Spring Creek at Big Spring, PA",SP,USGS,-77.4072075,40.129533,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01569460,,,
2,1615515,"OLD TOWN SPRING AT WINCHESTER, VA",SP,USGS,-78.17626389,39.18776667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01615515,,,
3,1616075,"FAY SPRING NEAR WINCHESTER, VA",SP,USGS,-78.13068889,39.2050722,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01616075,,,
4,1619320,"ALB. POWELL FISH HATCHERY SP. AT BEAVER CREEK, MD",SP,USGS,-77.63832438,39.58954224,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01619320,,,
5,1621014,"SPRING AT SPARKLING SPRINGS, VA",SP,USGS,-78.9522515,38.55151008,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01621014,,,
6,1621377,"SILVER LAKE SPRING AT DAYTON, VA",SP,USGS,-78.9416111,38.4249722,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01621377,,,
7,1622500,"CASTLE SPRING NEAR CHURCHVLLE, VA",SP,USGS,-79.1886447,38.22651726,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01622500,,,
8,162906055,"BEAR LITHIA SPRING NEAR ELKTON, VA",SP,USGS,-78.61813889,38.43566667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0162906055,,,
9,1632500,"PLAINS MILL SPRING NEAR NEW MARKET, VA",SP,USGS,-78.7219645,38.63622947,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01632500,,,
10,1632802,"SMITH CREEK AT SPRING NEAR HARRISONBURG, VA",SP,USGS,-78.7750111,38.47266667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01632802,,,
11,1632835,"BIG SPRING NEAR LACEY SPRING, VA",SP,USGS,-78.7449722,38.51205556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01632835,,,
12,163285551,"LACEY SPRING AT LACEY SPRING, VA",SP,USGS,-78.7646944,38.54241667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0163285551,,,
