agency,gross,site_number,station,site_type,lat,long,dec_coord_datum_cd,state,county
USGS,3068690,3068690," Ran-0261(North Spring at Bowden, WV)",SP,38.912053,-79.7042278,NAD83,WV,83
USGS,3068710,3068710," Ran-0262(South Spring at Bowden, WV)",SP,38.9106641,-79.7058946,NAD83,WV,83
USGS,3.71425E+14,371425081141001, Mer-0132S,SP,37.2403951,-81.2359313,NAD83,WV,55
USGS,3.7143E+14,371430081143501, Mer-0133S,SP,37.2417839,-81.2428761,NAD83,WV,55
USGS,3.7161E+14,371610081110001, Mer-0134S,SP,37.2695621,-81.1831507,NAD83,WV,55
USGS,3.71635E+14,371635081074101, Mer-0001S,SP,37.27650705,-81.12786989,NAD83,WV,55
USGS,3.7165E+14,371650081090001, Mer-0135S,SP,37.28067349,-81.14981559,NAD83,WV,55
USGS,3.7165E+14,371650081090002, Mer-0136S,SP,37.28067349,-81.14981559,NAD83,WV,55
USGS,3.7173E+14,371730081062501, Mer-0137S,SP,37.29178498,-81.10675779,NAD83,WV,55
USGS,3.71755E+14,371755081043501, Mer-0138S,SP,37.2987297,-81.0762007,NAD83,WV,55
USGS,3.7185E+14,371850081032101, Mer-0141S,SP,37.31400768,-81.0556442,NAD83,WV,55
USGS,3.71905E+14,371905080572001, Mer-0142S,SP,37.3181754,-80.955361,NAD83,WV,55
USGS,3.7193E+14,371930080551001, Mer-0143(Big Spring 1),SP,37.3251202,-80.919248,NAD83,WV,55
USGS,3.7205E+14,372050080531001, Mer-0145S,SP,37.3473428,-80.8859133,NAD83,WV,55
USGS,3.7224E+14,372240080462501,RED SULPHUR SPRINGS1,SP,37.37762176,-80.772019,NAD83,WV,71
WV002,3.72248E+14,372248080462601, Mnr-0152S,SP,37.38012174,-80.77368579,NAD83,WV,63
USGS,3.72304E+14,372304080462501, Mnr-0070(Red Sulphur Springs 2),SP,37.3848439,-80.7767416,NAD83,WV,63
USGS,3.72305E+14,372305080463501, Mnr-0071S (Scott Branch Springs),SP,37.3848333,-80.7761944,NAD83,WV,63
USGS,3.72339E+14,372339081082001, Mer-0148S,SP,37.39428434,-81.1387051,NAD83,WV,55
USGS,3.72358E+14,372358080555201, Mer-0149S,SP,37.3995645,-80.93091679,NAD83,WV,55
USGS,3.72406E+14,372406080424601,Mnr-0307S,SP,37.4016722,-80.712875,NAD83,WV,63
USGS,3.72412E+14,372412080434501,Mnr-0306S,SP,37.40332778,-80.7292917,NAD83,WV,63
USGS,3.72455E+14,372455080420501, Mnr-0072S,SP,37.4154004,-80.7011827,NAD83,WV,63
USGS,3.72458E+14,372458080421001, Mnr-0073(Mercer Athletic Club 1 Spring),SP,37.41623374,-80.7025716,NAD83,WV,63
USGS,3.72458E+14,372458080421002, Mnr-0074(Mercer Athletic Club 2 Spring),SP,37.41623374,-80.7025716,NAD83,WV,63
USGS,3.72458E+14,372458080421003, Mnr-0075(Mercer Athletic Club 3 Spring),SP,37.41623374,-80.7025716,NAD83,WV,63
USGS,3.72507E+14,372507080420601,Mnr-0436S (Rich Creek Spring),SP,37.4187222,-80.70163889,NAD83,WV,63
USGS,3.7274E+14,372740080243001, Mnr-0143S,SP,37.46123726,-80.40811329,NAD83,WV,63
USGS,3.72745E+14,372745080431002, Mnr-0076S,SP,37.46262229,-80.71924049,NAD83,WV,63
USGS,3.72805E+14,372805081184701, Wyo-0094S,SP,37.46817096,-81.3128788,NAD83,WV,109
USGS,3.72812E+14,372812081171601, Mer-0112S,SP,37.47011559,-81.2876006,NAD83,WV,55
