agency,gross,site_number,sample_dt,sample_tm,p00060,p00630,p00631
USGS,3068690,3068690,3/26/1997,8:45,,0.59,
USGS,3068690,3068690,5/7/2010,9:45,,,0.23
USGS,3068690,3068690,6/23/2015,14:00,,,0.2
USGS,3.74525E+14,374525080324501,3/24/1997,18:15,,2.3,
USGS,3.74525E+14,374525080324501,5/19/2010,12:45,,,1.27
USGS,3.74525E+14,374525080324501,6/29/2015,13:40,,,2.15
USGS,3.74525E+14,374525080324501,7/6/2016,12:15,,,2.23
USGS,3.74525E+14,374525080324501,8/28/2018,12:40,,,2.21
USGS,3.7481E+14,374810080173001,8/27/1996,13:15,,0.23,
USGS,3.7481E+14,374810080173001,3/25/1997,10:00,,0.28,
USGS,3.7481E+14,374810080173001,5/19/2010,9:15,,,0.14
USGS,3.7481E+14,374810080173001,6/29/2015,16:20,,,0.15
USGS,3.753E+14,375300080331600,1/20/1973,11:00,5,,
USGS,3.75401E+14,375401081013601,8/5/1982,16:15,,,0.29
USGS,3.7584E+14,375840080224001,7/7/2016,10:20,,,6.01
USGS,3.75901E+14,375901080363601,5/13/1980,19:00,,,1.4
USGS,3.80012E+14,380012080561701,9/5/1986,12:30,,,1.7
USGS,3.81245E+14,381245080401001,7/8/1981,13:00,,,0.23
USGS,3.81625E+14,381625080063001,8/28/1996,10:20,,0.59,
USGS,3.81625E+14,381625080063001,3/25/1997,14:30,,0.86,
USGS,3.81625E+14,381625080063001,5/18/2010,12:30,,,0.62
USGS,3.81625E+14,381625080063001,7/7/2015,10:00,,,0.36
USGS,3.8163E+14,381630080414301,7/8/1981,14:15,,,0.08
USGS,3.81645E+14,381645081171201,3/26/1982,9:15,,,0.56
USGS,3.81756E+14,381756080580201,3/10/1982,11:00,,,0.41
USGS,3.8322E+14,383220080201001,8/25/1987,15:00,,,0.5
USGS,3.83243E+14,383243080060501,8/26/1987,11:00,,,0.32
USGS,3.90205E+14,390205079253401,7/15/1991,20:00,,0.52,0.53
USGS,3.90324E+14,390324079232501,7/15/1991,15:51,,0.44,0.44
USGS,3.90324E+14,390324079232501,5/6/2010,17:50,,,0.47
USGS,3.90324E+14,390324079232501,6/23/2015,10:05,,,0.39
USGS,3.90358E+14,390358079253901,11/8/1990,13:53,,0.7,0.7
USGS,3.90358E+14,390358079253901,1/9/1991,9:45,,0.6,0.7
USGS,3.90358E+14,390358079253901,3/5/1991,17:12,,0.57,0.6
USGS,3.90358E+14,390358079253901,5/15/1991,13:02,,0.62,0.62
USGS,3.90358E+14,390358079253901,7/15/1991,18:15,,0.74,0.73
USGS,3.90358E+14,390358079253901,8/28/1996,18:45,,0.45,
USGS,3.90358E+14,390358079253901,3/26/1997,12:30,,0.4,
USGS,3.90443E+14,390443078345101,5/2/1972,,112,,
USGS,3.90443E+14,390443078345101,12/18/1972,,110,,
USGS,3.90443E+14,390443078345101,2/25/2004,9:45,,,0.41
USGS,3.90446E+14,390446079270501,11/8/1990,15:25,,0.2,0.2
USGS,3.90446E+14,390446079270501,1/10/1991,15:15,,0.5,0.5
USGS,3.90446E+14,390446079270501,3/6/1991,12:44,,0.58,0.59
USGS,3.90446E+14,390446079270501,5/13/1991,13:33,,0.14,0.2
USGS,3.90446E+14,390446079270501,7/16/1991,14:45,,0.05,0.05
USGS,3.90457E+14,390457079252601,7/17/1991,18:45,,0.56,0.55
USGS,3.9061E+14,390610079255301,11/7/1990,17:31,,0.5,0.5
USGS,3.9061E+14,390610079255301,1/8/1991,8:30,,0.5,0.5
USGS,3.9061E+14,390610079255301,3/6/1991,10:29,,0.48,0.44
USGS,3.9061E+14,390610079255301,5/14/1991,15:00,,0.9,0.46
USGS,3.9061E+14,390610079255301,7/16/1991,11:00,,0.12,0.13
USGS,3.91413E+14,391413077572301,7/29/1988,9:20,,,4.6
USGS,3.91413E+14,391413077572301,9/29/1988,15:10,,,5.2
USGS,3.91413E+14,391413077572301,12/21/1988,9:15,,,5.1
USGS,3.91413E+14,391413077572301,3/29/1989,10:45,,,5.4
USGS,3.91413E+14,391413077572301,6/20/1989,15:30,,,4.6
USGS,3.91505E+14,391505077502501,9/18/1974,17:35,,4.5,
USGS,3.91505E+14,391505077502501,7/25/1988,17:45,,,7.9
USGS,3.9173E+14,391730077520001,9/23/1974,12:00,,6,
USGS,3.9173E+14,391730077520001,3/21/1975,8:00,,5.3,
USGS,3.9173E+14,391730077520001,5/19/1975,7:55,,6.3,
USGS,3.9173E+14,391730077525001,4/19/1977,8:00,,6.3,
USGS,3.91735E+14,391735077484301,9/17/1974,11:00,,5,
USGS,3.91805E+14,391805077550701,9/27/1988,15:50,,,4.1
USGS,3.91805E+14,391805077550701,12/20/1988,16:00,,,3.7
USGS,3.91805E+14,391805077550701,3/28/1989,10:00,,,4.6
USGS,3.91805E+14,391805077550701,6/20/1989,12:45,,,4.6
USGS,3.91829E+14,391829077444501,9/16/1974,15:00,,0.06,
USGS,3.9184E+14,391840077504001,9/17/1974,14:45,,5.2,
USGS,3.9184E+14,391840077504001,7/25/1988,14:00,,,5.9
USGS,3.9184E+14,391840077504001,5/23/1989,8:14,,,6.2
USGS,3.91851E+14,391851078265401,11/3/2020,8:00,,,0.17
USGS,3.9193E+14,391930077441501,9/23/1974,9:45,,9.4,
USGS,3.9195E+14,391950078032900,8/24/1989,8:55,,,3.1
USGS,3.9195E+14,391950078032900,3/27/1997,17:30,,1.8,
USGS,3.9195E+14,391950078032900,5/6/2010,10:20,,,2.6
USGS,3.9195E+14,391950078032900,6/25/2015,10:00,,,2.38
USGS,3.9195E+14,391950078032900,11/5/2020,8:00,,,2.93
USGS,3.91956E+14,391956078062600,8/23/1989,17:05,,4.2,5.9
USGS,3.9201E+14,392010077455201,7/26/1988,11:00,,,4
USGS,3.9201E+14,392010077455201,5/24/1989,8:13,,,4.2
USGS,3.9201E+14,392010077455201,9/4/1996,16:10,,4.5,
USGS,3.9201E+14,392010077455201,3/28/1997,9:15,,3.9,
USGS,3.9201E+14,392010077455201,12/3/2020,9:00,,,3.77
USGS,3.92042E+14,392042077554301,9/18/1974,11:15,,3.1,
USGS,3.92042E+14,392042077554301,3/21/1975,11:15,,2.9,
USGS,3.92042E+14,392042077554301,5/19/1975,14:35,,2.8,
USGS,3.92042E+14,392042077554301,9/13/2004,14:45,,,3.8
USGS,3.9211E+14,392110077555201,9/14/2004,8:45,,,1.78
USGS,3.92124E+14,392124078050501,3/29/1989,12:30,,,6.1
USGS,3.92124E+14,392124078050501,6/20/1989,8:15,,,5.7
USGS,3.92124E+14,392124078050501,10/3/1989,10:15,,,5.7
USGS,3.92124E+14,392124078050501,12/19/1989,13:00,,,5.9
USGS,3.92124E+14,392124078050501,3/6/1990,8:15,,,5.9
USGS,3.92241E+14,392241078011901,8/24/1989,12:55,,2.7,3.5
USGS,3.92333E+14,392333077550500,8/24/1989,13:30,,4.2,5.4
USGS,3.92359E+14,392359078063901,8/23/1989,8:00,,,0.11
USGS,3.92431E+14,392431078035101,8/23/1989,18:30,,,5.3
USGS,3.92534E+14,392534077591401,3/7/1990,8:15,,,4.8
USGS,3.92536E+14,392536077591301,8/24/1989,14:15,,,3.9
USGS,3.9255E+14,392550078021300,3/28/1989,17:00,,,5.5
USGS,3.9255E+14,392550078021300,6/21/1989,8:15,,,8.3
USGS,3.9255E+14,392550078021300,10/3/1989,9:00,,,9.3
USGS,3.9255E+14,392550078021300,12/19/1989,8:00,,,7.2
USGS,3.9255E+14,392550078021300,3/5/1990,16:15,,,7.8
USGS,3.92619E+14,392619077541200,3/30/1989,7:45,,,5.4
USGS,3.92619E+14,392619077541200,6/21/1989,16:00,,,7.3
USGS,3.92619E+14,392619077541200,10/2/1989,17:00,,,5.8
USGS,3.92619E+14,392619077541200,12/18/1989,15:45,,,5.6
USGS,3.92619E+14,392619077541200,3/5/1990,14:40,,,6.2
USGS,3.92717E+14,392717077530901,8/23/1989,14:00,,4.3,5.4
USGS,3.92723E+14,392723078103900,3/29/1989,14:45,,,0.55
USGS,3.92723E+14,392723078103900,6/21/1989,10:30,,,0.66
USGS,3.92723E+14,392723078103900,10/3/1989,12:15,,,0.7
USGS,3.92723E+14,392723078103900,12/19/1989,15:30,,,0.57
USGS,3.92723E+14,392723078103900,3/7/1990,14:07,,,0.57
USGS,3.92748E+14,392748078003202,8/22/1989,16:30,,,4.2
USGS,3.92753E+14,392753078185901,5/10/2005,12:40,,,0.06
USGS,3.92812E+14,392812077585900,12/1/2020,10:00,,,4.63
USGS,3.92907E+14,392907078013501,3/7/1990,11:31,,,1.2
USGS,3.9295E+14,392950078004601,3/8/1990,11:10,,,6.2
