OBJECTID_12,Spring w Flow,OID_,DEQ_NUMBER,SINGLE_MULTIPLE_TREND,LATNAD83DD,LONGNAD83D,DATE_MEASURED,TIME_MEASURED,DISCHARGE_METHOD,METER_TYPE,DATA_SOURCE,DISCHARGE_GPM,DISCHARGE_CFS,MGD,Temp_Water_C,Temp_Air_C,SPECIFIC_CONDUCTIVITY_uS_cm_C,CONDUCTIVITY_uS_cm,TDS_g_L,Salinity_ppt,DO_Conc_mg_L,pH,Acid_Neutralizing_Capacity_mg_L_Field_Titration,Bicarbonate_mg_L_Field_Titration,Carbonate_mg_L_Field_Titration,Chloride_Filtered_mg_L,FIELD_COMMENTS,OBJECTID_1,OBJECTID,DEQ_NUMBER_sites,SPRING_NAME,USGS_SITE_ID,VWUDS_MPID,OTHER_ID,SITE_COMMENTS,DATE_INVENTORIED_INITIAL,NUMBER_OF_OPENINGS,ALTITUDE_FT_AMSL,NED_10M_PROJECTED_ELEVATION_FT_AMSL,LATITUDE_NAD83_DMS,LONGITUDE_NAD83_DMS,LATNAD83DD_sites,LONGNAD83DD_sites,Site_Photo_Field_Notes,COUNTY,TOPO_SETTING,NATIONAL_WATER_USE,IMPROVEMENTS,SPHERE_OF_DISCHARGE,OWNER,DATA_COLLECTOR,HDATUM,LATLONGSOURCE,QUAD_NAME,GENERAL_LITHOLOGY,USGS_500K_GEOL_LABEL,USGS_500K_GEOLOGY,USGS_500K_GEOL_UNIT_LINK,USGS_500K_GEOL_AGE,USGS_500K_GEOL_ROCKTYPE1,USGS_500K_GEOL_ROCKTYPE2,USGS_500K_GEOL_FORMATION_NAME,USGS_500K_GEOL_FORMATION_PERIOD,MAJOR_BASIN_NAME,BASIN_NAME,BASIN_CODE,USGS_HUC_CODE,HUC_NAME,HUC_DRAIN,VDOF_LAND_USE,PROVINCE,PROVINCE_SECTION
5,1,1136,101-00852,SINGLE,38.21457579,-78.7430783,8/7/1985,,ESTIMATED,,SWCB,4,0.01,0.01,10,-9999,13,-9999,-9999,-9999,-9999,5.75,-9999,-9999,-9999,-9999,,1193,8,101-00852,BLACKROCK SPRING,,,DGIF: 4,USED BY HIKERS ALONG APPALACHIAN TRAIL.  LOCATION COULD NOT BE VERIFIED USING VGIN IMAGERY.,0,0,0,2642,381252.4728,784435.0819,38.21457579,-78.7430783,YES,ALBEMARLE,,NOT USED,,,"SHENANDOAH NATIONAL PARK, ,",SWCB,NAD27,MAP,BROWNS COVE,SILICICLASTIC,[ch,[ch,VACAch;0,Cambrian,quartzite,conglomerate,Chilhowee Group,Cambrian,James River Basin,Middle James River and Appomattox River Subbasin,2B,2080204,MOORMANS RIVER,H,Hardwood Forest,BLUE RIDGE,NORTHERN
6,2,1137,101-00853,MULTIPLE,38.22235329,-78.73168901,8/1/1973,,MEASURED,,SWCB,3,0.01,0.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,1194,9,101-00853,SNP - DUNDO SPRING,381318078435501,,"PWSID:  2003253, DGIF: 5","TWO WELLS HAVE BEEN DRILLED DOWNSTREAM OF THE SPRING THE NPS.  SEE VDRR, M.R.R. 10 FOR ADDITIONAL FLOW MEASUREMENTS.  LOCATION COULD NOT BE VERIFIED WITH VGIN IMAGERY.",0,0,0,2858,381320.4718,784354.0804,38.22235329,-78.73168901,YES,ALBEMARLE,,NOT USED,,,"SHENANDOAH NATIONAL PARK, ,",SWCB,NAD27,MAP,BROWNS COVE,SILICICLASTIC,[ch,[ch,VACAch;0,Cambrian,quartzite,conglomerate,Chilhowee Group,Cambrian,James River Basin,Middle James River and Appomattox River Subbasin,2B,2080204,MOORMANS RIVER,H,Hardwood Forest,BLUE RIDGE,NORTHERN
8,3,1139,101-00854,MULTIPLE,38.26540754,-78.65474138,8/1/1970,,MEASURED,,SWCB,5,0.01,0.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,1195,10,101-00854,IVY CREEK SPRING,381553078391701,,DGIF: 6,SEE VDMR MINERAL RESOURCES REPORT 10 FOR FURTHER FLOW MEASUREMENTS.  LOCATION COULD NOT BE VERIFIED WITH VGIN IMAGERY.,0,0,2880,2884,381555.4672,783917.069,38.26540754,-78.65474138,YES,ALBEMARLE,,NOT USED,,,"SHENANDOAH NATIONAL PARK, ,",SWCB,NAD27,MAP,MCGAHEYSVILLE,IGNEOUS,[Zc,[Zc,VACAZc;0,Proterozoic Z-Cambrian,meta-basalt,,Catoctin Formation - metabasalt,Cambrian - late Proterozoic,James River Basin,Middle James River and Appomattox River Subbasin,2B,2080204,NORTH FORK RIVANNA RIVER/SWIFT RUN/PREDDY CREEK,H,Hardwood Forest,BLUE RIDGE,NORTHERN
9,3,1140,101-00854,MULTIPLE,38.26540754,-78.65474138,8/7/1985,,ESTIMATED,,SWCB,2,0,0.00,10.56,-9999,52,-9999,-9999,-9999,-9999,6.16,-9999,-9999,-9999,-9999,,1195,10,101-00854,IVY CREEK SPRING,381553078391701,,DGIF: 6,SEE VDMR MINERAL RESOURCES REPORT 10 FOR FURTHER FLOW MEASUREMENTS.  LOCATION COULD NOT BE VERIFIED WITH VGIN IMAGERY.,0,0,2880,2884,381555.4672,783917.069,38.26540754,-78.65474138,YES,ALBEMARLE,,NOT USED,,,"SHENANDOAH NATIONAL PARK, ,",SWCB,NAD27,MAP,MCGAHEYSVILLE,IGNEOUS,[Zc,[Zc,VACAZc;0,Proterozoic Z-Cambrian,meta-basalt,,Catoctin Formation - metabasalt,Cambrian - late Proterozoic,James River Basin,Middle James River and Appomattox River Subbasin,2B,2080204,NORTH FORK RIVANNA RIVER/SWIFT RUN/PREDDY CREEK,H,Hardwood Forest,BLUE RIDGE,NORTHERN
10,4,1141,101-00861,SINGLE,38.017981,-78.515606,4/11/2011,,ESTIMATED,,DEQ,1,0,0.00,13.09,-9999,182,-9999,0.118,-9999,0.62,4.93,-9999,-9999,-9999,-9999,TRICKLE,1110,11,101-00861,FRY'S SPRING (LOWER OR MAIN SPRING),,,,LOWER SPRING WAS MINERAL SPRING FOR RESORT.  COULD NOT VERIFY LOCATION WITH VGIN IMAGERY.,20110411,0,460,457,380104.7314,783056.1832,38.017981,-78.515606,YES,ALBEMARLE,,,,,"FRY'S SPRING BEACH CLUB, ,",DEQ,WGS84,PPGPS,CHARLOTTESVILLE WEST,METAMORPHIC,Zlm,Zlm,VAZlm;0,Proterozoic Z,meta-argillite,schist,Lynchburg Group - metagraywacke,late Proterozoic,James River Basin,Middle James River and Appomattox River Subbasin,2B,2080204,UPPER RIVANNA RIVER/MOORES CREEK,H,Hardwood Forest,PIEDMONT,PIEDMONT UPLAND
11,5,1142,101-00862,SINGLE,38.018261,-78.515726,4/11/2011,,ESTIMATED,,DEQ,1,0,0.00,13,-9999,228,-9999,0.148,-9999,5.24,4.88,-9999,-9999,-9999,-9999,TRICKLE,1111,12,101-00862,FRY'S SPRING (UPPER SPRING),,,,COULD NOT VERIFY LOCATION WITH VGIN IMAGERY.,20110411,0,465,467,380105.739,783056.6147,38.018261,-78.515726,YES,ALBEMARLE,,,,,"FRY'S SPRING BEACH CLUB, ,",DEQ,WGS84,PPGPS,CHARLOTTESVILLE WEST,METAMORPHIC,Zlm,Zlm,VAZlm;0,Proterozoic Z,meta-argillite,schist,Lynchburg Group - metagraywacke,late Proterozoic,James River Basin,Middle James River and Appomattox River Subbasin,2B,2080204,UPPER RIVANNA RIVER/MOORES CREEK,H,Hardwood Forest,PIEDMONT,PIEDMONT UPLAND
12,6,2996,102-00035,MULTIPLE,37.71648971,-79.91676407,6/2/2015,9:18,MEASURED,ELECTRIC METER,DEQ,3317.98,7.39,4.78,11.97,29,303,228,0.198,0.15,10.74,7.15,-9999,-9999,-9999,-9999,"Spring sampled at springhead for ambient groundwater quality.  Flow measurement taken downstream of all springs on Fridley property, no good way to isolate each individual spring below main spring.  Field parameters taken at spring head.",1,13,102-00035,FRIDLEY - ROARING RUN SPRING,,,COLLINS ET AL. 1930: 297,HEADWATERS SPRING OF ROARING RUN.  SEVERAL HUNDRED GPM.  MULTIPLE SPRING OPENINGS IN AREA WITH WATERS OR DIFFERENT WATER QUALITIES.,20150527,2,1871,1880,374259.363,795500.3507,37.71648971,-79.91676407,YES,ALLEGHANY,HILLSIDE,,NONE,SUBAERIAL,"FRIDLEY, GEORGE, ,",DEQ,WGS84,PPGPS,STROM,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,LOWER CRAIG CREEK/PATTERSON CREEK/LOWER BARBOURS CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
13,6,3496,102-00035,MULTIPLE,37.71648971,-79.91676407,2/21/1928,,,,VDWR,400,0.89,0.58,11.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,1,13,102-00035,FRIDLEY - ROARING RUN SPRING,,,COLLINS ET AL. 1930: 297,HEADWATERS SPRING OF ROARING RUN.  SEVERAL HUNDRED GPM.  MULTIPLE SPRING OPENINGS IN AREA WITH WATERS OR DIFFERENT WATER QUALITIES.,20150527,2,1871,1880,374259.363,795500.3507,37.71648971,-79.91676407,YES,ALLEGHANY,HILLSIDE,,NONE,SUBAERIAL,"FRIDLEY, GEORGE, ,",DEQ,WGS84,PPGPS,STROM,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,LOWER CRAIG CREEK/PATTERSON CREEK/LOWER BARBOURS CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
15,7,1143,102-00110,SINGLE,37.68088,-79.7434,11/1/2004,,CONTINUOUS METER -AVERAGED,,CONSULTANT - ENSR-AECOM,508,1.13,0.73,12.2,-9999,141,-9999,-9999,-9999,-9999,7.5,-9999,-9999,-9999,-9999,FLOW AND WQ AVERAGED OVER ONE YEAR PERIOD 11/1/2004 - 11/1/2005,2,14,102-00110,FRALEY SPRINGS #1,,,,SPRING SUMMARIES OBTAINED FROM ENSR-AECOM,20041101,0,0,1349,374051.168,794436.24,37.68088,-79.7434,YES,ALLEGHANY,,,,,"unknown, ,",CONSULTANT,WGS84,PPGPS,SUGARLOAF MOUNTAIN,,DSz,DSz,VADSz;0,Silurian-Devonian,sandstone,limestone,undivided,lower Devonian and Silurian,James River Basin,Upper James River Subbasin,2A,2080201,UPPER JAMES RIVER/SINKING CREEK/MILL CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
16,8,1144,102-00111,SINGLE,37.67131,-79.73717,11/1/2004,,CONTINUOUS METER -AVERAGED,,CONSULTANT - ENSR-AECOM,620,1.38,0.89,14.3,-9999,169,-9999,-9999,-9999,-9999,7.8,-9999,-9999,-9999,-9999,FLOW AND WQ AVERAGED OVER ONE YEAR PERIOD 11/1/2004 - 11/1/2005,3,15,102-00111,FRALEY SPRINGS #2,,,,SPRING SUMMARIES OBTAINED FROM ENSR-AECOM,20041101,0,0,1353,374016.716,794413.812,37.67131,-79.73717,YES,ALLEGHANY,,,,,"unknown, ,",CONSULTANT,WGS84,PPGPS,SUGARLOAF MOUNTAIN,,Dmn,Dmn,VADmn;0,Devonian,black shale,shale,Millboro Shale and Needmore Formation,Devonian,James River Basin,Upper James River Subbasin,2A,2080201,UPPER JAMES RIVER/SINKING CREEK/MILL CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
17,9,1145,102-00112,SINGLE,37.67938,-79.74472,11/1/2004,,CONTINUOUS METER -AVERAGED,,CONSULTANT - ENSR-AECOM,103,0.23,0.15,13.2,-9999,152,-9999,-9999,-9999,-9999,7.4,-9999,-9999,-9999,-9999,FLOW AND WQ AVERAGED OVER ONE YEAR PERIOD 11/1/2004 - 11/1/2005,4,16,102-00112,FRALEY SPRINGS #3,,,,SPRING SUMMARIES OBTAINED FROM ENSR-AECOM,20041101,0,0,1264,374045.768,794440.992,37.67938,-79.74472,YES,ALLEGHANY,,,,,"unknown, ,",CONSULTANT,WGS84,PPGPS,SUGARLOAF MOUNTAIN,,Dmn,Dmn,VADmn;0,Devonian,black shale,shale,Millboro Shale and Needmore Formation,Devonian,James River Basin,Upper James River Subbasin,2A,2080201,UPPER JAMES RIVER/SINKING CREEK/MILL CREEK,I,Mixed Forest,VALLEY AND RIDGE,MIDDLE
