site_number,nitrate,GPM,state
1569460,,13150.719,PA
394321077062901,,,PA
394342077395001,,,PA
394346077321301,,,PA
394351076031701,,,PA
394422076574801,,,PA
394439076022701,,,PA
394441076570501,,,PA
394450077240901,,,PA
394504077232601,,,PA
394511077240801,,,PA
394516076033501,,,PA
394616076560801,,,PA
394616077041301,,,PA
394619077034401,,,PA
394620076401001,,,PA
394621076400901,,,PA
394637078540101,,,PA
394639078535501,,,PA
394725077342101,,,PA
394732078530901,,,PA
394758077413301,,,PA
394803078530101,,,PA
394921078514301,,,PA
394929077341401,,,PA
394931078563501,,,PA
394943075590001,,,PA
395007075593501,,,PA
395008077423501,,,PA
395011077314301,,,PA
395014075530201,7.1,,PA
395014077553801,,,PA
395015077315501,,,PA
395015078530601,,,PA
395021077513201,8.1,,PA
395036078020501,,,PA
395038078392801,,,PA
395043078525201,,,PA
395053078565401,,,PA
395054078564801,,,PA
395107078551001,,,PA
395108078550801,,,PA
395125077240101,,,PA
395131075590701,,,PA
395155077005501,,,PA
395200077564501,,,PA
395222077560501,,,PA
395226076205001,,,PA
395233075585601,,,PA
395304076204901,,,PA
395312078301301,,,PA
395316078301801,,,PA
395328077231601,,,PA
395412077360201,,1660.671,PA
395414076425301,,,PA
395415077513301,,,PA
395417077355801,,,PA
395420077284001,,,PA
395422076171501,,,PA
395428078473301,,,PA
395434077541601,,,PA
395436075565101,,,PA
395451078493701,,,PA
395456078493501,,,PA
395504076094301,,,PA
395514078302201,,,PA
395517078460401,,,PA
395517078460601,,,PA
395520078521801,,,PA
395521077275001,,,PA
395524078483001,,,PA
395534075563001,,,PA
395536075571201,,,PA
395537076174901,,,PA
395636076592901,,,PA
395702076155701,,,PA
395750078362901,,,PA
395848076154901,,,PA
395857078305401,,,PA
395903076144801,,,PA
395920077403901,,,PA
395925076153801,9.67,,PA
395933078303701,,,PA
395936075593001,,,PA
395943076145401,,,PA
395944077054001,,,PA
395945075593601,,,PA
395945076151501,12,,PA
395946078302401,,,PA
395948078303201,,,PA
395953076155401,12,,PA
395953076155526,12,,PA
400029075571601,,,PA
400106078472101,,,PA
400128078444201,,,PA
400129076090001,,,PA
400130076162801,,,PA
400130078262901,,,PA
400201078394901,,1301.607,PA
400220077353001,,,PA
400222077352801,,,PA
400317078214701,,,PA
400322076255001,,,PA
400324078434601,,,PA
400351076261301,,,PA
400415076280501,,,PA
400418076041401,,,PA
400433076261401,,,PA
400449076275501,,,PA
400456076041201,,,PA
400458076200001,,,PA
400501076274201,,,PA
400530076260601,,,PA
400543076295801,,,PA
400544076235501,,,PA
400547076392001,,,PA
400557076262601,,,PA
400600076261601,,,PA
400603077184001,,763.011,PA
400604077183701,,1929.969,PA
400605076335801,21.3,1750.437,PA
400605077183501,,107.7192,PA
400606077183501,,,PA
400607077183401,,,PA
400607077183701,,,PA
400607077184301,,,PA
400609077184501,,278.2746,PA
400610076240101,,,PA
400611077183601,,,PA
400618077180601,,,PA
400621076223701,,,PA
400626077571501,,,PA
400627076231301,,,PA
400630076393001,,,PA
400637076432201,,,PA
400642076394701,,,PA
400642076403201,,,PA
400645076245001,,,PA
400722076245901,,,PA
400724076195301,,,PA
400725076370701,,,PA
400726076295301,,,PA
400729076362301,,,PA
400737076380201,,,PA
400739078355101,,,PA
400744075583901,12,,PA
400744076391301,,,PA
400744077242901,4,11220.75,PA
400749076361201,,,PA
400755076364101,,,PA
400827076361801,,,PA
400838078262801,,,PA
400841077274501,5.7,897.66,PA
400858077074201,,10771.92,PA
400903075551501,13,,PA
400904078125501,,,PA
400904078125701,,,PA
400906078125601,,,PA
400908076341101,,,PA
400912078130701,,,PA
400918077263701,,,PA
400926075524401,,,PA
400926075544501,6.9,,PA
400926078345101,,1615.788,PA
400933077060301,8.3,,PA
400941077185901,6,852.777,PA
400943077005001,10,1548.4635,PA
400944077185801,,,PA
400945077185901,,,PA
401002077535101,,,PA
401003077155301,6.66,897.66,PA
401008077154501,,,PA
401009077184001,,673.245,PA
401009077184002,5.8,,PA
401009077184003,6,,PA
401010076305201,,,PA
401010077184101,,,PA
401010078250901,,,PA
401015078241001,,,PA
401020076352201,,,PA
401020078225801,,,PA
401028078240901,,,PA
401032076082401,,,PA
401045076340901,,,PA
401056076565901,,,PA
401133078210401,,,PA
401135078211301,,,PA
401152076105301,19,,PA
401158077015301,,718.128,PA
401240077095501,,,PA
401248077063801,,26.9298,PA
401252077102301,,,PA
401307078242801,,,PA
401311076264301,,,PA
401339076550701,2.7,291.7395,PA
401344076551401,,987.426,PA
401353076564801,2.7,,PA
401403076162901,,,PA
401419076570801,,350.0874,PA
401428077002501,,1885.086,PA
401525076495701,3.4,,PA
401603078103901,,,PA
401609076285801,,,PA
401612076282701,,,PA
401628078082101,,,PA
401631076272201,,,PA
401634076290001,,,PA
401636076285501,,,PA
401643076291501,,,PA
401643076291901,,,PA
401645076204901,,,PA
401649076215601,,,PA
401650076211301,,,PA
401656076273401,,,PA
401700076273901,,,PA
401705076190401,,,PA
401712076254201,,,PA
401728076201702,,,PA
401743078093301,,,PA
401815077005801,,,PA
401943077144001,0.08,,PA
401948076294501,,538.596,PA
401956076281401,,,PA
401957076281201,,,PA
401959078240401,,,PA
402004076290901,,,PA
402014077541801,,,PA
402028078155001,8.81,,PA
402034076304301,,,PA
402035076241601,,,PA
402039076285801,,,PA
402045077133401,,,PA
402047076284401,,,PA
402054077131601,,,PA
402057076285701,,,PA
402058076285801,,,PA
402110077124001,,,PA
402113077134701,,,PA
402223076303601,,,PA
402309077042101,6.2,,PA
402511078161801,,,PA
402521078161501,,,PA
402710078324001,,,PA
402711078323301,,,PA
402730078121001,,,PA
402807078331201,,,PA
402809078332201,,,PA
402816078160901,,,PA
402925078022301,,,PA
402935078014001,,,PA
403128077595001,,,PA
403205078103301,,,PA
403246077495301,,,PA
403252077582701,,242.3682,PA
403256076235401,,,PA
403347077462701,,1122.075,PA
403406078092401,,,PA
403408078092401,4.4,,PA
403621078121801,,,PA
403626076252902,,,PA
403627076253001,,,PA
403702078075401,,,PA
403736076475801,,,PA
403750078425701,,,PA
403753078341501,,,PA
403816078321802,,,PA
403825078114201,,,PA
403852076532901,,,PA
403907078353501,,,PA
403912078153901,,,PA
403930078045601,,,PA
403933077385101,7.55,1211.841,PA
404013078143101,,,PA
404130077160401,,,PA
404147077333601,0.95,14362.56,PA
404221077580501,3.74,1705.554,PA
404228077565801,4.8,,PA
404412076184201,,,PA
404528078370801,,,PA
404547077313201,,,PA
404629078535601,,,PA
404709078535001,,,PA
404710076395801,,,PA
404730077445101,5.06,,PA
404730077445401,,,PA
404735077363901,,0,PA
404808077504902,,2692.98,PA
404814078524102,,,PA
404818078304901,,,PA
404844077503101,,538.596,PA
405105077492101,3.35,4084.353,PA
405144077042601,,,PA
405145077452601,5.46,2244.15,PA
405149077041801,,,PA
405153077035301,,,PA
405213077271601,2.86,,PA
405241077280201,5.72,,PA
405248077474001,,3904.821,PA
405300077363101,,3411.108,PA
405300077473701,3.2,,PA
405324077453701,7.92,897.66,PA
405328077052001,,,PA
405420077464201,1.88,8527.77,PA
405440076502501,,,PA
405455076455501,,,PA
405517078230101,,,PA
405518077023101,,,PA
405525077290401,3.74,,PA
405535077280801,,,PA
405544078225801,,,PA
405727078173901,,,PA
405753078363601,,,PA
405810076362802,,,PA
405847077253201,2.7,,PA
405857077280001,2.64,14811.39,PA
405857077280002,2.85,,PA
405938077250301,3.3,13016.07,PA
410002077320301,,,PA
410013077320101,,1885.086,PA
410035077224401,4.855,,PA
410045077304901,,,PA
410058077315201,,1122.075,PA
410059077315001,,,PA
410113077195401,2.88,,PA
410126077213001,,,PA
410127076222101,,,PA
410140077183701,3.865,,PA
410145077184001,,,PA
410145077184401,,,PA
410215076152901,,,PA
410225077182801,,,PA
410244077065501,,,PA
410248077314801,,,PA
410249077083901,,,PA
410250077083801,,22.4415,PA
410258077313201,1.76,1436.256,PA
410312077310301,,987.426,PA
410317077305801,,3680.406,PA
410322077305501,,673.245,PA
410324077281101,1.88,3949.704,PA
410359076113401,,,PA
410422078383601,,,PA
410432076234401,,,PA
410433076234701,,,PA
410445078195701,,,PA
410504077272801,,4308.768,PA
410602078024001,,,PA
410647076504801,,,PA
410827075521801,,,PA
410925077131301,0.89,19748.52,PA
411007077005601,,,PA
411219076504201,,,PA
411223076501301,,,PA
411302077035101,,,PA
411326078315201,,,PA
411422076413201,,,PA
411748075561201,,,PA
412042075345401,,,PA
412110076013701,,,PA
412500076295201,,,PA
412502076295001,,,PA
412522076022001,,,PA
412721076263601,,,PA
412732078034101,,,PA
413355075331501,,,PA
413500075453501,,,PA
413949077072601,,,PA
414257075460701,,,PA
414309076420801,,,PA
415122075304201,,,PA
415145075311501,,,PA
415203075311801,,,PA
415350075280001,,,PA
415442075515101,0.04,,PA
415613077262701,,,PA
420239077324900,,,NY
421017075321801,,,NY
422439077402801,,,NY
422852074363603,,,NY
422855074362900,,,NY
423231075143101,,,NY
424608075441700,,,NY
425413075065301,,,NY
1619320,,3455.991,MD
1621014,0.074,,MD
382338076304301,4.6,,MD
382339076304301,1.4,,MD
382340076304301,0.19,,MD
382948078575301,4.11,,MD
383052077022701,0.315,,MD
383136078563401,3.55,,MD
383149078570401,5.97,,MD
383234078553201,3.17,,MD
383255078561901,,,MD
383441076535101,,,MD
383454076523401,,,MD
383553077044901,,,MD
383830076565001,,,MD
384815076394001,,,MD
385344076354501,,,MD
385619077063601,1.6,,MD
385824077001901,,,MD
385825077001701,,,MD
385946077095901,,,MD
390124076135801,,,MD
390231077155401,,,MD
390246077163801,,,MD
390255077163701,,,MD
