,site_number,GPM,m^3/day,nitrate,delivery_factor,state,50% discharge curvature
site 1,4.01E+14,1750.437,9541.61,21.3,0.8284428,PA,
site 2,4.01E+14,11220.75,61164.20,4,0.7657067,PA,
site 3,4.01E+14,897.66,4893.14,5.7,0.7657067,PA,
site 4,4.01E+14,852.777,4648.48,6,0.7657067,PA,
site 5,4.01E+14,1548.4635,8440.66,10,0.7044839,PA,
site 6,4.01E+14,897.66,4893.14,6.66,0.7657067,PA,
site 7,4.04E+14,1211.841,6605.73,7.55,0.8725094,PA,
site 8,4.04E+14,1705.554,9296.96,3.74,0.8564107,PA,
site 9,4.05E+14,4084.353,22263.77,3.35,0.6573033,PA,
site 10,4.05E+14,2244.15,12232.84,5.46,0.6661649,PA,
site 11,4.05E+14,897.66,4893.14,7.92,0.6661649,PA,
site 12,4.06E+14,13016.07,70950.47,3.3,0.8004386,PA,
site 13,3.92E+14,493.713,2691.22,4.35,1.016192,WV,
site 14,1342,738,4022.83,3.74,0.7466782,PA,
site 15,1336,943,5140.28,7.92,0.6661649,PA,
site 16,1332,3150,17170.62,5.72,0.7466782,PA,
site 17,1329,3500,19078.47,5.46,0.6661649,PA,
site 18,1327,5690,31016.13,4.2,0.6573033,PA,
site 19,1315,1710,9321.19,3.74,0.8564107,PA,
site 20,1359,13000,70862.87,3.3,0.8004386,PA,
site 21,1277,1460,7958.45,10,0.7044839,PA,
site 22,1276,1500,8176.49,4.3,0.7657067,PA,
site 23,1275,1580,8612.56,8.3,0.7044839,PA,
site 24,1271,1400,7631.39,5.7,0.7657067,PA,
site 25,1269,11674,63634.86,3.2,0.7657067,PA,
site 26,1730,100,545.10,3.4,0.8406056,PA,
site 27,156,1300,7086.29,8.1,1.030271,PA,
site 28,776,1845,10057.08,4.4,0.800537,PA,
site 29,596,50,272.55,9.665,0.5693889,PA,
site 30,934,865,4715.11,7.55,0.8725094,PA,
site 31,107-00170,1617.22,8815.45,12,0.6944762,VA,
site 32,107-00902,130,708.63,3.9,0.486861,VA,
site 33,107-00912,387,2109.53,5.5,0.486861,VA,
site 34,121-00150,851.375,4640.84,3.2,1.016192,VA,
site 35,121-00209,394.9,2152.60,4.2,0.8829358,VA,
site 36,121-00211,2387.62,13014.89,3.1,1.016192,VA,
site 37,121-00214,587.54,3202.67,3.35,1.016192,VA,
site 38,134-00031,1997,10885.63,3.3,0.8829358,VA,
site 39,134-00034,1530.91,8344.98,3.4,0.9834498,VA,
site 40,134-00131,1070.39,5834.69,3.5,0.8829358,VA,
site 41,134-00289,968,5276.56,3.7,0.9834498,VA,
site 42,182-00265,3048.5,16617.34,3.7,0.8981747,VA,
site 43,182-00584,1989.12,10842.67,3.3,0.8981747,VA,
site 44,182-00585,2701.78,14727.38,4.75,0.8981747,VA,
site 45,182-00855,83.84,457.01,5,0.8981747,VA,
site 46,182-00857,148.1,807.29,3,0.8981747,VA,
site 47,193-00124,1328,7238.91,3,1.016192,VA,
